model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,added_component,baseline_profile,augmented_profile,baseline_model_status,augmented_model_status,baseline_validation_fold_mean_auprc,augmented_validation_fold_mean_auprc,delta_validation_fold_mean_auprc,baseline_error_detection_auroc,augmented_error_detection_auroc,delta_error_detection_auroc,baseline_error_detection_auprc,augmented_error_detection_auprc,delta_error_detection_auprc,baseline_review_error_rate,augmented_review_error_rate,delta_review_error_rate,baseline_review_lift,augmented_review_lift,delta_review_lift,baseline_review_recall_of_residual_errors,augmented_review_recall_of_residual_errors,delta_review_recall_of_residual_errors,baseline_combined_recall_of_candidate_errors,augmented_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors,baseline_retained_accuracy_after_review,augmented_retained_accuracy_after_review,delta_retained_accuracy_after_review,baseline_retained_accuracy_gain_vs_residual,augmented_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual,baseline_deduplicated_error_detection_auroc,augmented_deduplicated_error_detection_auroc,delta_deduplicated_error_detection_auroc,baseline_deduplicated_error_detection_auprc,augmented_deduplicated_error_detection_auprc,delta_deduplicated_error_detection_auprc,baseline_deduplicated_review_error_rate,augmented_deduplicated_review_error_rate,delta_deduplicated_review_error_rate,baseline_deduplicated_review_lift,augmented_deduplicated_review_lift,delta_deduplicated_review_lift,baseline_deduplicated_review_recall_of_residual_errors,augmented_deduplicated_review_recall_of_residual_errors,delta_deduplicated_review_recall_of_residual_errors,baseline_deduplicated_combined_recall_of_candidate_errors,augmented_deduplicated_combined_recall_of_candidate_errors,delta_deduplicated_combined_recall_of_candidate_errors,baseline_deduplicated_retained_accuracy_after_review,augmented_deduplicated_retained_accuracy_after_review,delta_deduplicated_retained_accuracy_after_review,baseline_deduplicated_retained_accuracy_gain_vs_residual,augmented_deduplicated_retained_accuracy_gain_vs_residual,delta_deduplicated_retained_accuracy_gain_vs_residual
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,prior,uncertainty,uncertainty_prior,complete,complete,0.505952380952,0.923611111111,0.417658730159,0.754385964912,0.855263157895,0.100877192982,0.315445665446,0.669635668277,0.354190002831,0.444444444444,0.444444444444,0.0,3.259259259259,3.259259259259,0.0,0.666666666667,0.666666666667,0.0,0.714285714286,0.714285714286,0.0,0.942857142857,0.942857142857,0.0,0.079220779221,0.079220779221,0.0,,,,,,,,,,,,,,,,,,,,,,,,
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support,uncertainty,uncertainty_support,complete,complete,0.505952380952,0.797619047619,0.291666666667,0.754385964912,0.925438596491,0.171052631579,0.315445665446,0.724537037037,0.409091371591,0.444444444444,0.555555555556,0.111111111111,3.259259259259,4.074074074074,0.814814814815,0.666666666667,0.833333333333,0.166666666667,0.714285714286,0.857142857143,0.142857142857,0.942857142857,0.971428571429,0.028571428571,0.079220779221,0.107792207792,0.028571428571,,,,,,,,,,,,,,,,,,,,,,,,
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support_after_prior,uncertainty_prior,uncertainty_prior_support,complete,complete,0.923611111111,0.983333333333,0.059722222222,0.855263157895,0.982456140351,0.127192982456,0.669635668277,0.897222222222,0.227586553945,0.444444444444,0.666666666667,0.222222222222,3.259259259259,4.888888888889,1.62962962963,0.666666666667,1.0,0.333333333333,0.714285714286,1.0,0.285714285714,0.942857142857,1.0,0.057142857143,0.079220779221,0.136363636364,0.057142857143,,,,,,,,,,,,,,,,,,,,,,,,
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,prior_after_empirical_support,uncertainty_support,uncertainty_prior_support,complete,complete,0.797619047619,0.983333333333,0.185714285714,0.925438596491,0.982456140351,0.05701754386,0.724537037037,0.897222222222,0.172685185185,0.555555555556,0.666666666667,0.111111111111,4.074074074074,4.888888888889,0.814814814815,0.833333333333,1.0,0.166666666667,0.857142857143,1.0,0.142857142857,0.971428571429,1.0,0.028571428571,0.107792207792,0.136363636364,0.028571428571,,,,,,,,,,,,,,,,,,,,,,,,
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,legacy_source_domain_support_after_fit,fit_support,legacy_support,complete,complete,0.505952380952,1.0,0.494047619048,0.758771929825,0.951754385965,0.19298245614,0.287222222222,0.807575757576,0.520353535354,0.333333333333,0.444444444444,0.111111111111,2.444444444444,3.259259259259,0.814814814815,0.5,0.666666666667,0.166666666667,0.571428571429,0.714285714286,0.142857142857,0.914285714286,0.942857142857,0.028571428571,0.050649350649,0.079220779221,0.028571428571,,,,,,,,,,,,,,,,,,,,,,,,
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_legacy_source_domain,source_domain_support,legacy_support,complete,complete,0.75,1.0,0.25,0.890350877193,0.951754385965,0.061403508772,0.633597883598,0.807575757576,0.173977873978,0.444444444444,0.444444444444,0.0,3.259259259259,3.259259259259,0.0,0.666666666667,0.666666666667,0.0,0.714285714286,0.714285714286,0.0,0.942857142857,0.942857142857,0.0,0.079220779221,0.079220779221,0.0,,,,,,,,,,,,,,,,,,,,,,,,
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,native_source_domain_support_after_fit,fit_support,uncertainty_support,complete,complete,0.505952380952,0.797619047619,0.291666666667,0.758771929825,0.925438596491,0.166666666667,0.287222222222,0.724537037037,0.437314814815,0.333333333333,0.555555555556,0.222222222222,2.444444444444,4.074074074074,1.62962962963,0.5,0.833333333333,0.333333333333,0.571428571429,0.857142857143,0.285714285714,0.914285714286,0.971428571429,0.057142857143,0.050649350649,0.107792207792,0.057142857143,,,,,,,,,,,,,,,,,,,,,,,,
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_native_source_domain,native_source_domain_support,uncertainty_support,complete,complete,0.805555555556,0.797619047619,-0.007936507937,0.938596491228,0.925438596491,-0.013157894737,0.8,0.724537037037,-0.075462962963,0.555555555556,0.555555555556,0.0,4.074074074074,4.074074074074,0.0,0.833333333333,0.833333333333,0.0,0.857142857143,0.857142857143,0.0,0.971428571429,0.971428571429,0.0,0.107792207792,0.107792207792,0.0,,,,,,,,,,,,,,,,,,,,,,,,
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,native_support_after_legacy,legacy_support,combined_support,complete,complete,1.0,0.938888888889,-0.061111111111,0.951754385965,0.938596491228,-0.013157894737,0.807575757576,0.759259259259,-0.048316498316,0.444444444444,0.555555555556,0.111111111111,3.259259259259,4.074074074074,0.814814814815,0.666666666667,0.833333333333,0.166666666667,0.714285714286,0.857142857143,0.142857142857,0.942857142857,0.971428571429,0.028571428571,0.079220779221,0.107792207792,0.028571428571,,,,,,,,,,,,,,,,,,,,,,,,
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,legacy_support_after_native,uncertainty_support,combined_support,complete,complete,0.797619047619,0.938888888889,0.14126984127,0.925438596491,0.938596491228,0.013157894737,0.724537037037,0.759259259259,0.034722222222,0.555555555556,0.555555555556,0.0,4.074074074074,4.074074074074,0.0,0.833333333333,0.833333333333,0.0,0.857142857143,0.857142857143,0.0,0.971428571429,0.971428571429,0.0,0.107792207792,0.107792207792,0.0,,,,,,,,,,,,,,,,,,,,,,,,
