model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
PACE,bindingdb,seed_6,drug,base,0.9,0.1,0.2,test,fitted,4,0.0,0,0.0,4,0.0,False
PACE,bindingdb,seed_6,drug,base,0.9,0.2,0.2,validation,cross_fitted,23,1.0,5,0.0,18,1.0,True
PACE,bindingdb,seed_6,drug,base,0.9,0.2,0.2,test,fitted,4,0.0,1,0.0,3,0.0,False
PACE,bindingdb,seed_7,target,base,0.8,0.1,0.2,validation,cross_fitted,327,63.0,33,15.0,294,48.0,True
PACE,bindingdb,seed_7,target,base,0.8,0.1,0.2,test,fitted,76,19.0,8,3.0,68,16.0,True
PACE,bindingdb,seed_7,target,base,0.8,0.2,0.2,validation,cross_fitted,327,63.0,65,29.0,262,34.0,True
PACE,bindingdb,seed_7,target,base,0.8,0.2,0.2,test,fitted,76,19.0,15,6.0,61,13.0,True
PACE,bindingdb,seed_7,target,base,0.9,0.1,0.2,validation,cross_fitted,66,4.0,7,1.0,59,3.0,True
PACE,bindingdb,seed_7,target,base,0.9,0.1,0.2,test,fitted,12,0.0,1,0.0,11,0.0,False
PACE,bindingdb,seed_7,target,base,0.9,0.2,0.2,validation,cross_fitted,66,4.0,13,1.0,53,3.0,True
PACE,bindingdb,seed_7,target,base,0.9,0.2,0.2,test,fitted,12,0.0,2,0.0,10,0.0,False
PACE,bindingdb,seed_7,drug,base,0.8,0.1,0.2,validation,cross_fitted,327,63.0,33,10.0,294,53.0,True
PACE,bindingdb,seed_7,drug,base,0.8,0.1,0.2,test,fitted,76,19.0,8,3.0,68,16.0,True
PACE,bindingdb,seed_7,drug,base,0.8,0.2,0.2,validation,cross_fitted,327,63.0,65,18.0,262,45.0,True
PACE,bindingdb,seed_7,drug,base,0.8,0.2,0.2,test,fitted,76,19.0,15,6.0,61,13.0,True
PACE,bindingdb,seed_7,drug,base,0.9,0.1,0.2,validation,cross_fitted,66,4.0,7,0.0,59,4.0,True
PACE,bindingdb,seed_7,drug,base,0.9,0.1,0.2,test,fitted,12,0.0,1,0.0,11,0.0,False
PACE,bindingdb,seed_7,drug,base,0.9,0.2,0.2,validation,cross_fitted,66,4.0,13,1.0,53,3.0,True
PACE,bindingdb,seed_7,drug,base,0.9,0.2,0.2,test,fitted,12,0.0,2,0.0,10,0.0,False
PACE,bindingdb,seed_8,target,base,0.8,0.1,0.2,validation,cross_fitted,746,162.0,75,38.0,671,124.0,True
PACE,bindingdb,seed_8,target,base,0.8,0.1,0.2,test,fitted,185,40.0,18,3.0,167,37.0,True
PACE,bindingdb,seed_8,target,base,0.8,0.2,0.2,validation,cross_fitted,746,162.0,149,60.0,597,102.0,True
