model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,added_component,baseline_profile,augmented_profile,baseline_model_status,augmented_model_status,baseline_validation_fold_mean_auprc,augmented_validation_fold_mean_auprc,delta_validation_fold_mean_auprc,baseline_error_detection_auroc,augmented_error_detection_auroc,delta_error_detection_auroc,baseline_error_detection_auprc,augmented_error_detection_auprc,delta_error_detection_auprc,baseline_review_error_rate,augmented_review_error_rate,delta_review_error_rate,baseline_review_lift,augmented_review_lift,delta_review_lift,baseline_review_recall_of_residual_errors,augmented_review_recall_of_residual_errors,delta_review_recall_of_residual_errors,baseline_combined_recall_of_candidate_errors,augmented_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors,baseline_retained_accuracy_after_review,augmented_retained_accuracy_after_review,delta_retained_accuracy_after_review,baseline_retained_accuracy_gain_vs_residual,augmented_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual,baseline_deduplicated_error_detection_auroc,augmented_deduplicated_error_detection_auroc,delta_deduplicated_error_detection_auroc,baseline_deduplicated_error_detection_auprc,augmented_deduplicated_error_detection_auprc,delta_deduplicated_error_detection_auprc,baseline_deduplicated_review_error_rate,augmented_deduplicated_review_error_rate,delta_deduplicated_review_error_rate,baseline_deduplicated_review_lift,augmented_deduplicated_review_lift,delta_deduplicated_review_lift,baseline_deduplicated_review_recall_of_residual_errors,augmented_deduplicated_review_recall_of_residual_errors,delta_deduplicated_review_recall_of_residual_errors,baseline_deduplicated_combined_recall_of_candidate_errors,augmented_deduplicated_combined_recall_of_candidate_errors,delta_deduplicated_combined_recall_of_candidate_errors,baseline_deduplicated_retained_accuracy_after_review,augmented_deduplicated_retained_accuracy_after_review,delta_deduplicated_retained_accuracy_after_review,baseline_deduplicated_retained_accuracy_gain_vs_residual,augmented_deduplicated_retained_accuracy_gain_vs_residual,delta_deduplicated_retained_accuracy_gain_vs_residual
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,fit_support,uncertainty,fit_support,complete,complete,0.569444444444,0.575396825397,0.005952380952,0.6640625,0.703125,0.0390625,0.288194444444,0.386424731183,0.098230286738,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,source_domain_support,uncertainty,source_domain_support,complete,complete,0.569444444444,0.638888888889,0.069444444444,0.6640625,0.7890625,0.125,0.288194444444,0.472537878788,0.184343434343,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,native_source_domain_support,uncertainty,native_source_domain_support,complete,complete,0.569444444444,0.694444444444,0.125,0.6640625,0.8046875,0.140625,0.288194444444,0.377631578947,0.089437134503,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,target_sequence_support,uncertainty_support,target_sequence_support,complete,complete,0.666666666667,0.666666666667,0.0,0.8125,0.84375,0.03125,0.377005347594,0.4,0.022994652406,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,general_target_joint_support,uncertainty_support,general_target_joint_support,complete,complete,0.666666666667,0.5,-0.166666666667,0.8125,0.875,0.0625,0.377005347594,0.408333333333,0.03132798574,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,legacy_empirical_support,uncertainty,legacy_support,complete,complete,0.569444444444,0.677777777778,0.108333333333,0.6640625,0.84375,0.1796875,0.288194444444,0.520833333333,0.232638888889,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,combined_empirical_support,uncertainty,combined_support,complete,complete,0.569444444444,0.444444444444,-0.125,0.6640625,0.7890625,0.125,0.288194444444,0.279656862745,-0.008537581699,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,prior,uncertainty,uncertainty_prior,complete,complete,,,,0.770833333333,0.669642857143,-0.10119047619,0.28484015984,0.351558956916,0.066718797076,0.272727272727,0.272727272727,0.0,2.142857142857,2.142857142857,0.0,0.428571428571,0.428571428571,0.0,0.555555555556,0.555555555556,0.0,0.909090909091,0.909090909091,0.0,0.036363636364,0.036363636364,0.0,0.789473684211,0.691729323308,-0.097744360902,0.351988487703,0.409124597207,0.057136109505,0.333333333333,0.333333333333,0.0,2.142857142857,2.142857142857,0.0,0.428571428571,0.428571428571,0.0,0.555555555556,0.555555555556,0.0,0.888888888889,0.888888888889,0.0,0.044444444444,0.044444444444,0.0
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,empirical_support,uncertainty,uncertainty_support,complete,complete,,,,0.770833333333,0.747023809524,-0.02380952381,0.28484015984,0.48029666412,0.19545650428,0.272727272727,0.454545454545,0.181818181818,2.142857142857,3.571428571429,1.428571428571,0.428571428571,0.714285714286,0.285714285714,0.555555555556,0.777777777778,0.222222222222,0.909090909091,0.954545454545,0.045454545455,0.036363636364,0.081818181818,0.045454545455,0.789473684211,0.733082706767,-0.056390977444,0.351988487703,0.499531855753,0.14754336805,0.333333333333,0.555555555556,0.222222222222,2.142857142857,3.571428571429,1.428571428571,0.428571428571,0.714285714286,0.285714285714,0.555555555556,0.777777777778,0.222222222222,0.888888888889,0.944444444444,0.055555555556,0.044444444444,0.1,0.055555555556
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,empirical_support_after_prior,uncertainty_prior,uncertainty_prior_support,complete,complete,,,,0.669642857143,0.741071428571,0.071428571429,0.351558956916,0.664938081663,0.313379124747,0.272727272727,0.454545454545,0.181818181818,2.142857142857,3.571428571429,1.428571428571,0.428571428571,0.714285714286,0.285714285714,0.555555555556,0.777777777778,0.222222222222,0.909090909091,0.954545454545,0.045454545455,0.036363636364,0.081818181818,0.045454545455,0.691729323308,0.729323308271,0.037593984962,0.409124597207,0.671882086168,0.26275748896,0.333333333333,0.555555555556,0.222222222222,2.142857142857,3.571428571429,1.428571428571,0.428571428571,0.714285714286,0.285714285714,0.555555555556,0.777777777778,0.222222222222,0.888888888889,0.944444444444,0.055555555556,0.044444444444,0.1,0.055555555556
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,prior_after_empirical_support,uncertainty_support,uncertainty_prior_support,complete,complete,,,,0.747023809524,0.741071428571,-0.005952380952,0.48029666412,0.664938081663,0.184641417543,0.454545454545,0.454545454545,0.0,3.571428571429,3.571428571429,0.0,0.714285714286,0.714285714286,0.0,0.777777777778,0.777777777778,0.0,0.954545454545,0.954545454545,0.0,0.081818181818,0.081818181818,0.0,0.733082706767,0.729323308271,-0.003759398496,0.499531855753,0.671882086168,0.172350230415,0.555555555556,0.555555555556,0.0,3.571428571429,3.571428571429,0.0,0.714285714286,0.714285714286,0.0,0.777777777778,0.777777777778,0.0,0.944444444444,0.944444444444,0.0,0.1,0.1,0.0
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,legacy_source_domain_support_after_fit,fit_support,legacy_support,complete,complete,,,,0.875,0.678571428571,-0.196428571429,0.530772183482,0.534054834055,0.003282650573,0.545454545455,0.454545454545,-0.090909090909,4.285714285714,3.571428571429,-0.714285714286,0.857142857143,0.714285714286,-0.142857142857,0.888888888889,0.777777777778,-0.111111111111,0.977272727273,0.954545454545,-0.022727272727,0.104545454545,0.081818181818,-0.022727272727,0.872180451128,0.669172932331,-0.203007518797,0.572426303855,0.541702741703,-0.030723562152,0.555555555556,0.444444444444,-0.111111111111,3.571428571429,2.857142857143,-0.714285714286,0.714285714286,0.571428571429,-0.142857142857,0.777777777778,0.666666666667,-0.111111111111,0.944444444444,0.916666666667,-0.027777777778,0.1,0.072222222222,-0.027777777778
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,fit_support_after_legacy_source_domain,source_domain_support,legacy_support,complete,complete,,,,0.619047619048,0.678571428571,0.059523809524,0.356041461313,0.534054834055,0.178013372741,0.181818181818,0.454545454545,0.272727272727,1.428571428571,3.571428571429,2.142857142857,0.285714285714,0.714285714286,0.428571428571,0.444444444444,0.777777777778,0.333333333333,0.886363636364,0.954545454545,0.068181818182,0.013636363636,0.081818181818,0.068181818182,0.609022556391,0.669172932331,0.06015037594,0.387664435048,0.541702741703,0.154038306655,0.222222222222,0.444444444444,0.222222222222,1.428571428571,2.857142857143,1.428571428571,0.285714285714,0.571428571429,0.285714285714,0.444444444444,0.666666666667,0.222222222222,0.861111111111,0.916666666667,0.055555555556,0.016666666667,0.072222222222,0.055555555556
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,native_source_domain_support_after_fit,fit_support,uncertainty_support,complete,complete,,,,0.875,0.747023809524,-0.127976190476,0.530772183482,0.48029666412,-0.050475519361,0.545454545455,0.454545454545,-0.090909090909,4.285714285714,3.571428571429,-0.714285714286,0.857142857143,0.714285714286,-0.142857142857,0.888888888889,0.777777777778,-0.111111111111,0.977272727273,0.954545454545,-0.022727272727,0.104545454545,0.081818181818,-0.022727272727,0.872180451128,0.733082706767,-0.139097744361,0.572426303855,0.499531855753,-0.072894448102,0.555555555556,0.555555555556,0.0,3.571428571429,3.571428571429,0.0,0.714285714286,0.714285714286,0.0,0.777777777778,0.777777777778,0.0,0.944444444444,0.944444444444,0.0,0.1,0.1,0.0
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,fit_support_after_native_source_domain,native_source_domain_support,uncertainty_support,complete,complete,,,,0.693452380952,0.747023809524,0.053571428571,0.431044331608,0.48029666412,0.049252332512,0.272727272727,0.454545454545,0.181818181818,2.142857142857,3.571428571429,1.428571428571,0.428571428571,0.714285714286,0.285714285714,0.555555555556,0.777777777778,0.222222222222,0.909090909091,0.954545454545,0.045454545455,0.036363636364,0.081818181818,0.045454545455,0.695488721805,0.733082706767,0.037593984962,0.512613378685,0.499531855753,-0.013081522932,0.333333333333,0.555555555556,0.222222222222,2.142857142857,3.571428571429,1.428571428571,0.428571428571,0.714285714286,0.285714285714,0.555555555556,0.777777777778,0.222222222222,0.888888888889,0.944444444444,0.055555555556,0.044444444444,0.1,0.055555555556
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,native_support_after_legacy,legacy_support,combined_support,complete,complete,,,,0.678571428571,0.708333333333,0.029761904762,0.534054834055,0.489845661585,-0.04420917247,0.454545454545,0.454545454545,0.0,3.571428571429,3.571428571429,0.0,0.714285714286,0.714285714286,0.0,0.777777777778,0.777777777778,0.0,0.954545454545,0.954545454545,0.0,0.081818181818,0.081818181818,0.0,0.669172932331,0.699248120301,0.03007518797,0.541702741703,0.503724053724,-0.037978687979,0.444444444444,0.444444444444,0.0,2.857142857143,2.857142857143,0.0,0.571428571429,0.571428571429,0.0,0.666666666667,0.666666666667,0.0,0.916666666667,0.916666666667,0.0,0.072222222222,0.072222222222,0.0
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,legacy_support_after_native,uncertainty_support,combined_support,complete,complete,,,,0.747023809524,0.708333333333,-0.03869047619,0.48029666412,0.489845661585,0.009548997465,0.454545454545,0.454545454545,0.0,3.571428571429,3.571428571429,0.0,0.714285714286,0.714285714286,0.0,0.777777777778,0.777777777778,0.0,0.954545454545,0.954545454545,0.0,0.081818181818,0.081818181818,0.0,0.733082706767,0.699248120301,-0.033834586466,0.499531855753,0.503724053724,0.004192197971,0.555555555556,0.444444444444,-0.111111111111,3.571428571429,2.857142857143,-0.714285714286,0.714285714286,0.571428571429,-0.142857142857,0.777777777778,0.666666666667,-0.111111111111,0.944444444444,0.916666666667,-0.027777777778,0.1,0.072222222222,-0.027777777778
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,fit_support,uncertainty,fit_support,complete,complete,,,,0.770833333333,0.875,0.104166666667,0.28484015984,0.530772183482,0.245932023641,0.272727272727,0.545454545455,0.272727272727,2.142857142857,4.285714285714,2.142857142857,0.428571428571,0.857142857143,0.428571428571,0.555555555556,0.888888888889,0.333333333333,0.909090909091,0.977272727273,0.068181818182,0.036363636364,0.104545454545,0.068181818182,0.789473684211,0.872180451128,0.082706766917,0.351988487703,0.572426303855,0.220437816152,0.333333333333,0.555555555556,0.222222222222,2.142857142857,3.571428571429,1.428571428571,0.428571428571,0.714285714286,0.285714285714,0.555555555556,0.777777777778,0.222222222222,0.888888888889,0.944444444444,0.055555555556,0.044444444444,0.1,0.055555555556
