model,dataset,test_run,group_axis,delta_validation_auprc,finite_policy_n_delta_validation_auprc,delta_validation_fold_mean_auprc,finite_policy_n_delta_validation_fold_mean_auprc,delta_test_auprc,finite_policy_n_delta_test_auprc,delta_test_deduplicated_auprc,finite_policy_n_delta_test_deduplicated_auprc,validation_positive,test_positive,same_direction,both_positive,dedup_minus_ordinary_delta
PACE,biosnap,seed_8,target,-0.067310519235,4,-0.100486102682,4,0.115233869001,4,,0,False,True,0.0,0.0,
PACE,human,seed_4,drug,-0.563380339202,3,-0.755245217745,3,-0.225601568266,4,-0.263540409356,4,False,False,1.0,0.0,-0.037938841089
PACE,human,seed_4,target,-0.727724279652,4,-0.836016842634,4,-0.175188823419,4,-0.190613204244,4,False,False,1.0,0.0,-0.015424380824
PACE,human,seed_5,drug,-0.327485465191,4,-0.511263505014,4,0.049892427847,4,-0.005766846732,4,False,True,0.0,0.0,-0.055659274579
PACE,human,seed_5,target,-0.541504031185,4,-0.677337994608,4,-0.001260019096,4,-0.030530097171,4,False,False,1.0,0.0,-0.029270078075
PACE,human,seed_6,drug,-0.786215816703,1,-0.950956937799,1,-0.010291606332,1,-0.039198955228,1,False,False,1.0,0.0,-0.028907348896
PACE,human,seed_6,target,,0,,0,-0.269092475854,2,-0.296584669504,2,,False,,,-0.02749219365
PACE,human,seed_7,drug,,0,,0,-0.134027399576,3,-0.21513127318,3,,False,,,-0.081103873604
PACE,human,seed_7,target,-0.547347674433,2,-0.821247699669,2,-0.0952435808,4,-0.104766748042,4,False,False,1.0,0.0,-0.009523167242
PACE,human,seed_8,drug,,0,,0,-0.143360259841,4,-0.150536318542,4,,False,,,-0.0071760587
PACE,human,seed_8,target,-0.177138118346,2,-0.513797313797,2,-0.133638164611,4,-0.135332131724,4,False,False,1.0,0.0,-0.001693967113
TAPB,bindingdb,seed_4,drug,,0,,0,,0,,0,,,,,
TAPB,bindingdb,seed_4,target,,0,,0,,0,,0,,,,,
TAPB,bindingdb,seed_5,drug,0.180966584322,4,0.17624267744,4,0.193559565441,4,,0,True,True,1.0,1.0,
TAPB,bindingdb,seed_5,target,-0.039971898081,4,-0.03850377302,4,0.239141336041,4,,0,False,True,0.0,0.0,
TAPB,bindingdb,seed_6,drug,,0,,0,,0,,0,,,,,
TAPB,bindingdb,seed_6,target,,0,,0,,0,,0,,,,,
TAPB,bindingdb,seed_7,drug,0.043954001397,4,0.043113305169,4,0.275844378171,4,,0,True,True,1.0,1.0,
TAPB,bindingdb,seed_7,target,-0.028796874705,4,-0.023675159472,4,0.314116116221,4,,0,False,True,0.0,0.0,
TAPB,bindingdb,seed_8,drug,0.18184943547,4,0.175354862975,4,0.187646803332,4,,0,True,True,1.0,1.0,
TAPB,bindingdb,seed_8,target,-0.014219094566,4,0.005179371969,4,0.241650600299,4,,0,False,True,0.0,0.0,
TAPB,biosnap,seed_4,drug,-0.040431678111,4,-0.051862123601,4,-0.029102523165,4,,0,False,False,1.0,0.0,
TAPB,biosnap,seed_4,target,-0.039780880959,4,-0.043453846053,4,0.256430585019,4,,0,False,True,0.0,0.0,
TAPB,biosnap,seed_5,drug,0.021818223021,4,0.05898269489,4,0.188105614194,4,,0,True,True,1.0,1.0,
TAPB,biosnap,seed_5,target,-0.033172530143,4,-0.080199205574,4,0.253161922741,4,,0,False,True,0.0,0.0,
TAPB,biosnap,seed_6,drug,0.063767630678,4,0.057057665398,4,0.213784242202,4,,0,True,True,1.0,1.0,
TAPB,biosnap,seed_6,target,-0.073022728672,4,-0.189361594433,4,0.295174833168,4,,0,False,True,0.0,0.0,
TAPB,biosnap,seed_7,drug,-0.073940525168,4,-0.075805328862,4,0.099212674604,4,,0,False,True,0.0,0.0,
TAPB,biosnap,seed_7,target,-0.082942989704,4,-0.100498650847,4,0.080347168529,4,,0,False,True,0.0,0.0,
TAPB,biosnap,seed_8,drug,0.007592080603,4,0.01703672441,4,0.042692777732,4,,0,True,True,1.0,1.0,
TAPB,biosnap,seed_8,target,-0.001717536465,4,-0.037704466493,4,0.205664617168,4,,0,False,True,0.0,0.0,
TAPB,human,seed_4,drug,,0,,0,-0.365478721939,4,-0.450971680634,4,,False,,,-0.085492958694
TAPB,human,seed_4,target,-0.308238636363,2,-0.435209551657,2,-0.365478721939,4,-0.450971680634,4,False,False,1.0,0.0,-0.085492958694
TAPB,human,seed_5,drug,-0.909982174688,1,-0.911111111111,1,-0.236317433224,4,-0.236106506466,4,False,False,1.0,0.0,0.000210926759
TAPB,human,seed_5,target,-0.533333333333,1,-0.933333333333,1,-0.215572477878,4,-0.221059864156,4,False,False,1.0,0.0,-0.005487386278
TAPB,human,seed_6,drug,-0.725225225225,1,-0.8943001443,1,-0.154332015422,4,-0.140767862963,4,False,False,1.0,0.0,0.013564152459
TAPB,human,seed_6,target,-0.485937425102,3,-0.706380039713,3,-0.267141156633,4,-0.251911307743,4,False,False,1.0,0.0,0.01522984889
TAPB,human,seed_7,drug,-0.326291783082,4,-0.551179689048,4,0.030261562207,4,0.031963178065,4,False,True,0.0,0.0,0.001701615858
TAPB,human,seed_7,target,-0.193472728116,3,-0.380012180993,3,0.042818240559,4,0.002622934656,4,False,True,0.0,0.0,-0.040195305902
TAPB,human,seed_8,drug,-0.270155664962,1,-0.502157102157,1,-0.033337922584,4,-0.059684659374,4,False,False,1.0,0.0,-0.02634673679
TAPB,human,seed_8,target,-0.216843848121,1,-0.381788119288,1,-0.097643573643,4,-0.114623957956,4,False,False,1.0,0.0,-0.016980384313
