model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,validation_finite_folds,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,selected_profile,selection_fallback,selection_reason,best_profile,best_validation_fold_mean_auprc,one_se_threshold,validation_gain_vs_uncertainty
TAPB,biosnap,seed_7,drug,base,0.9,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.391156,0.040194,3,782,106.0,0.13555,0.802906,0.380715,156,57.0,0.365385,2.695573,0.537736,0.637037,0.921725,0.057275,uncertainty_support,False,one_standard_error,uncertainty_prior_support,0.397064,0.348732,0.117492
TAPB,biosnap,seed_7,drug,base,0.9,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.344848,0.074673,3,695,78.0,0.11223,0.784399,0.289572,139,45.0,0.323741,2.884615,0.576923,0.755556,0.940647,0.052878,uncertainty_support,False,one_standard_error,uncertainty_prior_support,0.390831,0.309192,0.119668
TAPB,biosnap,seed_8,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability,0.213474,0.006236,3,578,56.0,0.096886,0.681616,0.183304,116,25.0,0.215517,2.224446,0.446429,0.523077,0.9329,0.029786,prior,False,one_standard_error,uncertainty_prior,0.213607,0.207302,0.006557
TAPB,biosnap,seed_8,target,base,0.8,0.2,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.182174,0.001139,3,514,43.0,0.083658,0.674715,0.165345,103,18.0,0.174757,2.088959,0.418605,0.615385,0.939173,0.02283,uncertainty,True,uncertainty_selected,uncertainty_support,0.226919,0.17549,0.0
TAPB,biosnap,seed_8,target,base,0.9,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.148941,0.074242,3,451,30.0,0.066519,0.622961,0.093005,90,9.0,0.1,1.503333,0.3,0.475,0.941828,0.008347,uncertainty,True,uncertainty_selected,uncertainty_support,0.211767,0.140039,0.0
TAPB,biosnap,seed_8,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability,0.263779,0.11887,3,401,25.0,0.062344,0.641915,0.128053,80,11.0,0.1375,2.2055,0.44,0.65,0.956386,0.01873,prior,False,one_standard_error,uncertainty_prior,0.263852,0.145047,0.131379
TAPB,biosnap,seed_8,drug,base,0.8,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.299595,0.060365,3,578,55.0,0.095156,0.780706,0.283627,116,29.0,0.25,2.627273,0.527273,0.6,0.943723,0.038879,uncertainty_support,False,one_standard_error,uncertainty_support,0.299595,0.23923,0.065948
TAPB,biosnap,seed_8,drug,base,0.8,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.216485,0.002283,3,514,42.0,0.081712,0.748739,0.195686,103,23.0,0.223301,2.732779,0.547619,0.707692,0.953771,0.035483,uncertainty_support,False,one_standard_error,uncertainty_prior_support,0.248614,0.209231,0.072023
TAPB,biosnap,seed_8,drug,base,0.9,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.187338,0.022509,3,451,33.0,0.073171,0.681238,0.137439,90,11.0,0.122222,1.67037,0.333333,0.45,0.939058,0.012229,uncertainty,True,uncertainty_selected,uncertainty_support,0.208081,0.167688,0.0
TAPB,biosnap,seed_8,drug,base,0.9,0.2,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.198576,0.0749,3,401,27.0,0.067332,0.694593,0.14484,80,9.0,0.1125,1.670833,0.333333,0.55,0.943925,0.011257,uncertainty,True,uncertainty_selected,uncertainty,0.198576,0.123676,0.0
