split,group_axis,model,dataset,measure,num_independent_runs,mean,run_win_rate,min,max
validation,drug,DrugBAN,human,delta_validation_fold_mean_auprc,1,0.195834,1.0,0.195834,0.195834
validation,drug,DrugBAN,human,delta_error_detection_auprc,1,0.375,1.0,0.375,0.375
validation,drug,DrugBAN,human,delta_review_lift,1,0.0,0.0,0.0,0.0
validation,drug,DrugBAN,human,delta_retained_accuracy_gain_vs_residual,1,0.0,0.0,0.0,0.0
validation,drug,PACE,bindingdb,delta_validation_fold_mean_auprc,5,0.094668,1.0,0.081154,0.12678
validation,drug,PACE,bindingdb,delta_error_detection_auprc,5,0.11112,1.0,0.073082,0.15147
validation,drug,PACE,bindingdb,delta_review_lift,5,0.374192,1.0,0.201009,0.491953
validation,drug,PACE,bindingdb,delta_retained_accuracy_gain_vs_residual,5,0.014696,1.0,0.006492,0.019295
validation,drug,PACE,biosnap,delta_validation_fold_mean_auprc,5,-0.002694,0.4,-0.025437,0.020921
validation,drug,PACE,biosnap,delta_error_detection_auprc,5,-0.001107,0.6,-0.025315,0.034626
validation,drug,PACE,biosnap,delta_review_lift,5,-0.075836,0.2,-0.197058,0.072034
validation,drug,PACE,biosnap,delta_retained_accuracy_gain_vs_residual,5,-0.001853,0.2,-0.00467,0.002024
validation,drug,PACE,human,delta_validation_fold_mean_auprc,3,-0.020641,0.0,-0.050349,0.0
validation,drug,PACE,human,delta_error_detection_auprc,3,0.011843,0.666667,0.0,0.020948
validation,drug,PACE,human,delta_review_lift,3,0.636533,0.666667,0.0,1.402778
validation,drug,PACE,human,delta_retained_accuracy_gain_vs_residual,3,0.014958,0.666667,0.0,0.030719
validation,drug,TAPB,bindingdb,delta_validation_fold_mean_auprc,3,-0.006689,0.333333,-0.022037,0.014389
validation,drug,TAPB,bindingdb,delta_error_detection_auprc,3,-0.010072,0.333333,-0.023153,0.01375
validation,drug,TAPB,bindingdb,delta_review_lift,3,-0.004593,0.333333,-0.017662,0.004812
validation,drug,TAPB,bindingdb,delta_retained_accuracy_gain_vs_residual,3,-0.000263,0.666667,-0.001426,0.000442
validation,drug,TAPB,biosnap,delta_validation_fold_mean_auprc,5,-0.01522,0.4,-0.049906,0.002332
validation,drug,TAPB,biosnap,delta_error_detection_auprc,5,-0.009801,0.2,-0.02157,0.00164
validation,drug,TAPB,biosnap,delta_review_lift,5,-0.152242,0.0,-0.237136,-0.07323
