model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,41,8,33,2.0,0.060606060606,0.516129032258,0.088345864662,10,0.0,0.0,0.0,0.0,0.5,0.913043478261,-0.026350461133,18,0.439024390244,,,,,,,,,,,,,
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,41,8,33,2.0,0.060606060606,0.145161290323,0.052564102564,10,0.0,0.0,0.0,0.0,0.5,0.913043478261,-0.026350461133,18,0.439024390244,,,,,,,,,,,,,
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,validation,native_density,baseline,complete,native_domain_density_distance,,,41,8,33,2.0,0.060606060606,0.096774193548,0.049533799534,10,0.0,0.0,0.0,0.0,0.5,0.913043478261,-0.026350461133,18,0.439024390244,,,,,,,,,,,,,
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,validation,fixed_hgb_upe,baseline,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.065476190476,0.017857142857,41,8,33,2.0,0.060606060606,0.572580645161,0.07196969697,10,0.833333333333,0.083333333333,1.375,0.416666666667,0.708333333333,0.949275362319,0.009881422925,18,0.439024390244,,,,,,,,,,,,,
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,61,12,49,4.0,0.081632653061,0.516666666667,0.154498106061,15,1.0,0.066666666667,0.816666666667,0.25,0.7,0.911764705882,-0.006602641056,27,0.44262295082,42.0,4.0,0.095238095238,0.532894736842,0.169191919192,13.0,1.0,0.076923076923,0.807692307692,0.25,0.7,0.896551724138,-0.008210180624
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,61,12,49,4.0,0.081632653061,0.455555555556,0.087893907563,15,0.0,0.0,0.0,0.0,0.6,0.882352941176,-0.036014405762,27,0.44262295082,42.0,4.0,0.095238095238,0.493421052632,0.108922327672,13.0,1.0,0.076923076923,0.807692307692,0.25,0.7,0.896551724138,-0.008210180624
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,test,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,61,12,49,4.0,0.081632653061,0.533333333333,0.127665770609,15,2.0,0.133333333333,1.633333333333,0.5,0.8,0.941176470588,0.022809123649,27,0.44262295082,42.0,4.0,0.095238095238,0.532894736842,0.137565789474,13.0,2.0,0.153846153846,1.615384615385,0.5,0.8,0.931034482759,0.026272577997
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,61,12,49,4.0,0.081632653061,0.733333333333,0.440732758621,15,2.0,0.133333333333,1.633333333333,0.5,0.8,0.941176470588,0.022809123649,27,0.44262295082,42.0,4.0,0.095238095238,0.730263157895,0.450714285714,13.0,2.0,0.153846153846,1.615384615385,0.5,0.8,0.931034482759,0.026272577997
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,test,uncertainty_prior_support,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,61,12,49,4.0,0.081632653061,0.677777777778,0.430273833671,15,2.0,0.133333333333,1.633333333333,0.5,0.8,0.941176470588,0.022809123649,27,0.44262295082,42.0,4.0,0.095238095238,0.644736842105,0.434043778802,13.0,2.0,0.153846153846,1.615384615385,0.5,0.8,0.931034482759,0.026272577997
DrugBAN,human,seed_8,target,base,0.9,0.2,0.3,test,raw_uncertainty,baseline,complete,raw_error_risk,,,61,12,49,4.0,0.081632653061,0.516666666667,0.154498106061,15,1.0,0.066666666667,0.816666666667,0.25,0.7,0.911764705882,-0.006602641056,27,0.44262295082,42.0,4.0,0.095238095238,0.532894736842,0.169191919192,13.0,1.0,0.076923076923,0.807692307692,0.25,0.7,0.896551724138,-0.008210180624
