dataset,group_axis,policy_rows,mean_n_test,mean_high_conf_positive,mean_residual_candidates,mean_residual_errors,median_residual_errors,mean_residual_error_prevalence
bindingdb,drug,60,1779.0,123.8,105.23333333333333,25.633333333333333,16.5,0.18799131844071568
bindingdb,target,60,1779.0,123.8,105.23333333333333,25.633333333333333,16.5,0.18799131844071568
biosnap,drug,60,907.0,175.53333333333333,149.13333333333333,18.116666666666667,16.0,0.11855196006529184
biosnap,target,60,907.0,175.53333333333333,149.13333333333333,18.116666666666667,16.0,0.11855196006529184
human,drug,60,311.0,69.43333333333334,59.06666666666667,9.25,9.5,0.1328448218926528
human,target,60,311.0,69.43333333333334,59.06666666666667,9.25,9.5,0.1328448218926528
