dataset,review_fraction,rows,mean_pause_review_error_rate_gain,mean_oracle_review_error_rate_headroom,mean_pause_fraction_of_oracle_rate_headroom,mean_pause_review_error_rate_gap_to_oracle,mean_pause_error_recall_gain,mean_oracle_error_recall_headroom,mean_pause_fraction_of_oracle_recall_headroom,mean_pause_error_recall_gap_to_oracle
bindingdb,0.05,120,0.18769588996857953,0.6978580131988864,0.218281024530967,0.51016212323025,0.09071386066663636,0.24341257482808862,0.21828102453104706,0.15269871416142952
bindingdb,0.1,120,0.13969345364554545,0.6594746162702196,0.2064919297872598,0.519781162624606,0.10545337665742047,0.4027165842391781,0.2064919297876287,0.2972632075818145
bindingdb,0.2,120,0.11094682589076137,0.5481286346308692,0.22767427173447352,0.437181808740017,0.1475901048440341,0.5877013384900818,0.2276742717346292,0.4401112336460819
biosnap,0.05,120,0.16862704425200833,0.7391480278981111,0.2321792328041436,0.5705209836460027,0.07063528479260833,0.40692017452373935,0.23217923280441236,0.33628488973123943
biosnap,0.1,120,0.13721001869645003,0.6218246231753249,0.20737608456352313,0.4846146044787917,0.117823028715575,0.6300232117984571,0.20737608456360954,0.5122001830828904
biosnap,0.2,120,0.09231637956401667,0.3506375977588367,0.23559181136775506,0.258321218194845,0.15032149918436666,0.6152825889249104,0.23559181136771076,0.46496108974049366
human,0.05,120,0.0348639455782347,0.602040816326551,0.03732638888889323,0.5671768707483164,0.009660075244510204,0.24188424301183545,0.036564625850296004,0.2322241677673253
human,0.1,120,0.01603903466147959,0.5944687398769194,0.005685131195328979,0.5784297052154296,0.006751230002153061,0.44176900745419817,0.005685131195298877,0.43501777745205533
human,0.2,120,0.007546769693714287,0.39970757814323055,-0.005964528668608245,0.39216080844945506,0.007157709507408164,0.5263311668666397,-0.00596452866861699,0.5191734573592622
