model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,n_test,n_high_conf_positive,deferred_n,n_residual_candidates,n_residual_errors,residual_error_prevalence,candidate_error_count
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,907,158,32,126,22.0,0.1746031746031746,32.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,907,118,12,106,14.0,0.1320754716981132,19.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,907,118,24,94,10.0,0.10638297872340426,19.0
DrugBAN,biosnap,seed_5,drug,base,0.8,0.1,0.2,907,186,19,167,34.0,0.20359281437125748,41.0
DrugBAN,biosnap,seed_5,drug,base,0.8,0.2,0.2,907,186,37,149,29.0,0.19463087248322147,41.0
DrugBAN,biosnap,seed_5,drug,base,0.9,0.1,0.2,907,163,16,147,29.0,0.19727891156462585,32.0
DrugBAN,biosnap,seed_5,drug,base,0.9,0.2,0.2,907,163,33,130,21.0,0.16153846153846155,32.0
DrugBAN,biosnap,seed_5,target,base,0.8,0.1,0.2,907,186,19,167,34.0,0.20359281437125748,41.0
DrugBAN,biosnap,seed_5,target,base,0.8,0.2,0.2,907,186,37,149,29.0,0.19463087248322147,41.0
DrugBAN,biosnap,seed_5,target,base,0.9,0.1,0.2,907,163,16,147,29.0,0.19727891156462585,32.0
DrugBAN,biosnap,seed_5,target,base,0.9,0.2,0.2,907,163,33,130,21.0,0.16153846153846155,32.0
DrugBAN,biosnap,seed_6,drug,base,0.8,0.1,0.2,907,210,21,189,36.0,0.19047619047619047,42.0
DrugBAN,biosnap,seed_6,drug,base,0.8,0.2,0.2,907,210,42,168,32.0,0.19047619047619047,42.0
DrugBAN,biosnap,seed_6,drug,base,0.9,0.1,0.2,907,175,18,157,28.0,0.17834394904458598,33.0
DrugBAN,biosnap,seed_6,drug,base,0.9,0.2,0.2,907,175,35,140,22.0,0.15714285714285714,33.0
DrugBAN,biosnap,seed_6,target,base,0.8,0.1,0.2,907,210,21,189,36.0,0.19047619047619047,42.0
DrugBAN,biosnap,seed_6,target,base,0.8,0.2,0.2,907,210,42,168,32.0,0.19047619047619047,42.0
DrugBAN,biosnap,seed_6,target,base,0.9,0.1,0.2,907,175,18,157,28.0,0.17834394904458598,33.0
DrugBAN,biosnap,seed_6,target,base,0.9,0.2,0.2,907,175,35,140,22.0,0.15714285714285714,33.0
DrugBAN,biosnap,seed_7,drug,base,0.8,0.1,0.2,907,183,18,165,51.0,0.3090909090909091,59.0
DrugBAN,biosnap,seed_7,drug,base,0.8,0.2,0.2,907,183,37,146,42.0,0.2876712328767123,59.0
DrugBAN,biosnap,seed_7,drug,base,0.9,0.1,0.2,907,136,14,122,33.0,0.27049180327868855,37.0
DrugBAN,biosnap,seed_7,drug,base,0.9,0.2,0.2,907,136,27,109,29.0,0.26605504587155965,37.0
DrugBAN,biosnap,seed_7,target,base,0.8,0.1,0.2,907,183,18,165,51.0,0.3090909090909091,59.0
DrugBAN,biosnap,seed_7,target,base,0.8,0.2,0.2,907,183,37,146,42.0,0.2876712328767123,59.0
DrugBAN,biosnap,seed_7,target,base,0.9,0.1,0.2,907,136,14,122,33.0,0.27049180327868855,37.0
DrugBAN,biosnap,seed_7,target,base,0.9,0.2,0.2,907,136,27,109,29.0,0.26605504587155965,37.0
DrugBAN,biosnap,seed_8,drug,base,0.8,0.1,0.2,907,193,19,174,28.0,0.16091954022988506,34.0
DrugBAN,biosnap,seed_8,drug,base,0.8,0.2,0.2,907,193,39,154,22.0,0.14285714285714285,34.0
DrugBAN,biosnap,seed_8,drug,base,0.9,0.1,0.2,907,173,17,156,22.0,0.14102564102564102,28.0
DrugBAN,biosnap,seed_8,drug,base,0.9,0.2,0.2,907,173,35,138,17.0,0.12318840579710146,28.0
DrugBAN,biosnap,seed_8,target,base,0.8,0.1,0.2,907,193,19,174,28.0,0.16091954022988506,34.0
DrugBAN,biosnap,seed_8,target,base,0.8,0.2,0.2,907,193,39,154,22.0,0.14285714285714285,34.0
DrugBAN,biosnap,seed_8,target,base,0.9,0.1,0.2,907,173,17,156,22.0,0.14102564102564102,28.0
DrugBAN,biosnap,seed_8,target,base,0.9,0.2,0.2,907,173,35,138,17.0,0.12318840579710146,28.0
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,311,17,2,15,1.0,0.06666666666666667,1.0
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,311,17,3,14,1.0,0.07142857142857142,1.0
DrugBAN,human,seed_4,drug,base,0.9,0.1,0.2,311,6,1,5,0.0,0.0,0.0
DrugBAN,human,seed_4,drug,base,0.9,0.2,0.2,311,6,1,5,0.0,0.0,0.0
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,311,17,2,15,1.0,0.06666666666666667,1.0
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,311,17,3,14,1.0,0.07142857142857142,1.0
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,311,6,1,5,0.0,0.0,0.0
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,311,6,1,5,0.0,0.0,0.0
DrugBAN,human,seed_5,drug,base,0.8,0.1,0.2,311,61,6,55,10.0,0.18181818181818182,14.0
DrugBAN,human,seed_5,drug,base,0.8,0.2,0.2,311,61,12,49,7.0,0.14285714285714285,14.0
DrugBAN,human,seed_5,drug,base,0.9,0.1,0.2,311,23,2,21,2.0,0.09523809523809523,2.0
DrugBAN,human,seed_5,drug,base,0.9,0.2,0.2,311,23,5,18,2.0,0.1111111111111111,2.0
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,311,61,6,55,10.0,0.18181818181818182,14.0
DrugBAN,human,seed_5,target,base,0.8,0.2,0.2,311,61,12,49,7.0,0.14285714285714285,14.0
DrugBAN,human,seed_5,target,base,0.9,0.1,0.2,311,23,2,21,2.0,0.09523809523809523,2.0
DrugBAN,human,seed_5,target,base,0.9,0.2,0.2,311,23,5,18,2.0,0.1111111111111111,2.0
DrugBAN,human,seed_6,drug,base,0.8,0.1,0.2,311,19,2,17,3.0,0.17647058823529413,3.0
DrugBAN,human,seed_6,drug,base,0.8,0.2,0.2,311,19,4,15,2.0,0.13333333333333333,3.0
DrugBAN,human,seed_6,drug,base,0.9,0.1,0.2,311,5,0,5,0.0,0.0,0.0
DrugBAN,human,seed_6,drug,base,0.9,0.2,0.2,311,5,1,4,0.0,0.0,0.0
DrugBAN,human,seed_6,target,base,0.8,0.1,0.2,311,19,2,17,3.0,0.17647058823529413,3.0
DrugBAN,human,seed_6,target,base,0.8,0.2,0.2,311,19,4,15,2.0,0.13333333333333333,3.0
DrugBAN,human,seed_6,target,base,0.9,0.1,0.2,311,5,0,5,0.0,0.0,0.0
DrugBAN,human,seed_6,target,base,0.9,0.2,0.2,311,5,1,4,0.0,0.0,0.0
DrugBAN,human,seed_7,drug,base,0.8,0.1,0.2,311,42,4,38,2.0,0.05263157894736842,2.0
DrugBAN,human,seed_7,drug,base,0.8,0.2,0.2,311,42,8,34,1.0,0.029411764705882353,2.0
DrugBAN,human,seed_7,drug,base,0.9,0.1,0.2,311,21,2,19,0.0,0.0,1.0
DrugBAN,human,seed_7,drug,base,0.9,0.2,0.2,311,21,4,17,0.0,0.0,1.0
