model,dataset,test_run,group_axis,n_test,mean_high_conf_positive,min_high_conf_positive,max_high_conf_positive,mean_residual_candidates,min_residual_candidates,max_residual_candidates,mean_residual_errors,min_residual_errors,max_residual_errors,mean_residual_error_prevalence,min_residual_error_prevalence,max_residual_error_prevalence
PACE,biosnap,seed_5,drug,907,161.5,147,176,137.25,118,158,10.25,8.0,14.0,0.07387700227590535,0.06779661016949153,0.08860759493670886
PACE,biosnap,seed_5,target,907,161.5,147,176,137.25,118,158,10.25,8.0,14.0,0.07387700227590535,0.06779661016949153,0.08860759493670886
PACE,biosnap,seed_6,drug,907,191.5,175,208,162.5,140,187,12.75,9.0,18.0,0.07722983651431425,0.06428571428571428,0.0962566844919786
PACE,biosnap,seed_6,target,907,191.5,175,208,162.5,140,187,12.75,9.0,18.0,0.07722983651431425,0.06428571428571428,0.0962566844919786
PACE,biosnap,seed_7,drug,907,162.5,144,181,138.25,115,163,8.25,4.0,13.0,0.05781202131355276,0.034782608695652174,0.07975460122699386
PACE,biosnap,seed_7,target,907,162.5,144,181,138.25,115,163,8.25,4.0,13.0,0.05781202131355276,0.034782608695652174,0.07975460122699386
PACE,biosnap,seed_8,drug,907,184.5,169,200,156.75,135,180,13.5,10.0,20.0,0.08470090155945419,0.07236842105263158,0.1111111111111111
PACE,biosnap,seed_8,target,907,184.5,169,200,156.75,135,180,13.5,10.0,20.0,0.08470090155945419,0.07236842105263158,0.1111111111111111
PACE,human,seed_4,drug,311,93.0,91,95,79.0,73,85,14.5,11.0,17.0,0.1822636590641321,0.1506849315068493,0.2073170731707317
PACE,human,seed_4,target,311,93.0,91,95,79.0,73,85,14.5,11.0,17.0,0.1822636590641321,0.1506849315068493,0.2073170731707317
PACE,human,seed_5,drug,311,96.0,96,96,81.5,77,86,13.5,12.0,15.0,0.16513138024765933,0.15584415584415584,0.1744186046511628
PACE,human,seed_5,target,311,96.0,96,96,81.5,77,86,13.5,12.0,15.0,0.16513138024765933,0.15584415584415584,0.1744186046511628
PACE,human,seed_6,drug,311,83.0,81,85,70.75,65,77,9.5,6.0,13.0,0.13236771286730997,0.09230769230769231,0.16883116883116883
PACE,human,seed_6,target,311,83.0,81,85,70.75,65,77,9.5,6.0,13.0,0.13236771286730997,0.09230769230769231,0.16883116883116883
PACE,human,seed_7,drug,311,88.0,85,91,75.0,68,82,9.25,5.0,12.0,0.12150392231733989,0.07352941176470588,0.14634146341463414
PACE,human,seed_7,target,311,88.0,85,91,75.0,68,82,9.25,5.0,12.0,0.12150392231733989,0.07352941176470588,0.14634146341463414
PACE,human,seed_8,drug,311,94.0,93,95,79.75,74,85,10.0,8.0,12.0,0.12466450307007583,0.10810810810810811,0.1411764705882353
PACE,human,seed_8,target,311,94.0,93,95,79.75,74,85,10.0,8.0,12.0,0.12466450307007583,0.10810810810810811,0.1411764705882353
TAPB,bindingdb,seed_4,drug,1779,1.5,0,3,1.25,0,3,0.0,0.0,0.0,0.0,0.0,0.0
