comparison,n_test_ratio,high_conf_positive_ratio,residual_candidates_ratio,residual_errors_ratio,residual_error_prevalence_difference
human_vs_biosnap,0.3428886438809261,0.39555639954424615,0.3960661600357622,0.5105795768169273,0.014292861827360948
human_vs_bindingdb,0.17481731309724563,0.5608508346795907,0.561292366170415,0.3608582574772432,-0.05514649654806289
