model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_profile,selection_reason,review_error_count,review_error_rate,review_recall_of_residual_errors,delta_review_error_rate_vs_uncertainty,delta_review_recall_of_residual_errors_vs_uncertainty,universe_n,universe_error_count,reviewed_n,uncertainty_review_error_rate_at_k,uncertainty_error_recall_at_k,oracle_review_error_rate_at_k,oracle_error_recall_at_k,max_possible_review_error_count_gain_over_uncertainty,max_possible_review_error_rate_gain_over_uncertainty,max_possible_error_recall_gain_over_uncertainty,uncertainty_fraction_of_oracle_error_count,pause_fraction_of_oracle_rate_headroom,pause_fraction_of_oracle_recall_headroom,pause_review_error_rate_gap_to_oracle,pause_error_recall_gap_to_oracle
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.05,uncertainty_support,one_standard_error,8.0,0.727272727273,0.285714285714,0.545454545455,0.214285714286,222,28.0,11,0.181818181818,0.071428571429,1.0,0.3928571428571428,9.0,0.818181818182,0.3214285714281428,0.1818181818181818,0.6666666666670742,0.6666666666684445,0.27272727272700004,0.10714285714314281
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.1,uncertainty_support,one_standard_error,13.0,0.590909090909,0.464285714286,0.409090909091,0.321428571429,222,28.0,22,0.181818181818,0.142857142857,1.0,0.7857142857142857,18.0,0.818181818182,0.6428571428572857,0.1818181818181818,0.5,0.5000000000005556,0.409090909091,0.3214285714282857
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,uncertainty_support,one_standard_error,20.0,0.454545454545,0.714285714286,0.227272727273,0.357142857143,222,28.0,44,0.227272727273,0.357142857143,0.6363636363636364,1.0,18.0,0.4090909090906364,0.642857142857,0.3571428571428571,0.5555555555565925,0.5555555555559012,0.18181818181863635,0.28571428571400004
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.05,uncertainty_support,one_standard_error,8.0,0.727272727273,0.285714285714,0.545454545455,0.214285714286,219,28.0,11,0.181818181818,0.071428571429,1.0,0.3928571428571428,9.0,0.818181818182,0.3214285714281428,0.1818181818181818,0.6666666666670742,0.6666666666684445,0.27272727272700004,0.10714285714314281
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.1,uncertainty_support,one_standard_error,13.0,0.590909090909,0.464285714286,0.272727272727,0.214285714286,219,28.0,22,0.318181818182,0.25,1.0,0.7857142857142857,15.0,0.681818181818,0.5357142857142857,0.3181818181818182,0.39999999999970665,0.4000000000005333,0.409090909091,0.3214285714282857
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,uncertainty_support,one_standard_error,20.0,0.454545454545,0.714285714286,0.227272727273,0.357142857143,219,28.0,44,0.227272727273,0.357142857143,0.6363636363636364,1.0,18.0,0.4090909090906364,0.642857142857,0.3571428571428571,0.5555555555565925,0.5555555555559012,0.18181818181863635,0.28571428571400004
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.05,uncertainty_support,one_standard_error,7.0,0.7,0.333333333333,0.4,0.190476190476,194,21.0,10,0.3,0.142857142857,1.0,0.4761904761904761,7.0,0.7,0.3333333333334761,0.3,0.5714285714285715,0.5714285714277553,0.30000000000000004,0.14285714285747608
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.1,uncertainty_support,one_standard_error,9.0,0.473684210526,0.428571428571,0.315789473684,0.285714285714,194,21.0,19,0.157894736842,0.142857142857,1.0,0.9047619047619048,16.0,0.8421052631579999,0.7619047619049047,0.1578947368421052,0.3749999999997032,0.3749999999995547,0.526315789474,0.47619047619090477
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,uncertainty_support,one_standard_error,15.0,0.384615384615,0.714285714286,0.230769230769,0.428571428571,194,21.0,39,0.153846153846,0.285714285714,0.5384615384615384,1.0,15.0,0.3846153846155384,0.714285714286,0.2857142857142857,0.5999999999991601,0.59999999999916,0.15384615384653844,0.28571428571400004
PACE,biosnap,seed_5,target,base,0.8,0.1,0.05,uncertainty,uncertainty_selected,3.0,0.375,0.214285714286,0.0,0.0,158,14.0,8,0.375,0.214285714286,1.0,0.5714285714285714,5.0,0.625,0.3571428571425714,0.375,0.0,0.0,0.625,0.35714285714257143
