model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
DrugBAN,human,seed_6,drug,base,0.9,0.2,0.2,validation,cross_fitted,3,0.0,1,0.0,2,0.0,False
DrugBAN,human,seed_6,drug,base,0.9,0.2,0.2,test,fitted,5,0.0,1,0.0,4,0.0,False
DrugBAN,human,seed_7,target,base,0.8,0.1,0.2,validation,cross_fitted,27,2.0,3,0.0,24,2.0,True
DrugBAN,human,seed_7,target,base,0.8,0.1,0.2,test,fitted,42,2.0,4,0.0,38,2.0,True
DrugBAN,human,seed_7,target,base,0.8,0.2,0.2,validation,cross_fitted,27,2.0,5,1.0,22,1.0,True
DrugBAN,human,seed_7,target,base,0.8,0.2,0.2,test,fitted,42,2.0,8,1.0,34,1.0,True
DrugBAN,human,seed_7,target,base,0.9,0.1,0.2,validation,cross_fitted,11,0.0,1,0.0,10,0.0,False
DrugBAN,human,seed_7,target,base,0.9,0.1,0.2,test,fitted,21,1.0,2,1.0,19,0.0,False
DrugBAN,human,seed_7,target,base,0.9,0.2,0.2,validation,cross_fitted,11,0.0,2,0.0,9,0.0,False
DrugBAN,human,seed_7,target,base,0.9,0.2,0.2,test,fitted,21,1.0,4,1.0,17,0.0,False
DrugBAN,human,seed_7,drug,base,0.8,0.1,0.2,validation,cross_fitted,27,2.0,3,0.0,24,2.0,True
DrugBAN,human,seed_7,drug,base,0.8,0.1,0.2,test,fitted,42,2.0,4,0.0,38,2.0,True
DrugBAN,human,seed_7,drug,base,0.8,0.2,0.2,validation,cross_fitted,27,2.0,5,0.0,22,2.0,True
DrugBAN,human,seed_7,drug,base,0.8,0.2,0.2,test,fitted,42,2.0,8,1.0,34,1.0,True
DrugBAN,human,seed_7,drug,base,0.9,0.1,0.2,validation,cross_fitted,11,0.0,1,0.0,10,0.0,False
DrugBAN,human,seed_7,drug,base,0.9,0.1,0.2,test,fitted,21,1.0,2,1.0,19,0.0,False
