model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,candidate,raw,6,0.0,0.0,0.0327944301,0.001330273924,0.0327944301
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,candidate,calibrated,6,0.0,0.0,0.022005673059,0.000644911213,0.022005673059
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,deferred,raw,1,0.0,0.0,0.047579606307,0.002263818936,0.047579606307
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,deferred,calibrated,1,0.0,0.0,0.03403480038,0.001158367637,0.03403480038
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,residual,raw,5,0.0,0.0,0.029837394859,0.001143564922,0.029837394859
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,residual,calibrated,5,0.0,0.0,0.019599847595,0.000542219928,0.019599847595
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,validation,candidate,raw,15,1.0,0.066666666667,0.06391197808,0.066119635981,0.002754688587
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,validation,candidate,calibrated,15,1.0,0.066666666667,0.052498201407,0.067202350714,0.02880801312
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,validation,deferred,raw,2,0.0,0.0,0.093224305616,0.008732064678,0.093224305616
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,validation,deferred,calibrated,2,0.0,0.0,0.100891349618,0.010258368071,0.100891349618
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,validation,residual,raw,13,1.0,0.076923076923,0.059402389228,0.074948493104,0.017520687695
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,validation,residual,calibrated,13,1.0,0.076923076923,0.045053101682,0.075962963428,0.031869975241
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,candidate,raw,17,1.0,0.058823529412,0.059137967389,0.054887639572,0.000314437977
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,candidate,calibrated,17,1.0,0.058823529412,0.047130913045,0.055167688517,0.011692616367
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,deferred,raw,2,0.0,0.0,0.095495193059,0.009122008282,0.095495193059
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,deferred,calibrated,2,0.0,0.0,0.084974175358,0.007224247318,0.084974175358
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,residual,raw,15,1.0,0.066666666667,0.0542903373,0.060989723744,0.012376329367
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,residual,calibrated,15,1.0,0.066666666667,0.042085144737,0.061560147344,0.02458152193
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,validation,candidate,raw,15,1.0,0.066666666667,0.06391197808,0.066119635981,0.002754688587
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,validation,candidate,calibrated,15,1.0,0.066666666667,0.052498201407,0.067202350714,0.02880801312
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,validation,deferred,raw,3,0.0,0.0,0.08898365861,0.007981586687,0.08898365861
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,validation,deferred,calibrated,3,0.0,0.0,0.095091151074,0.009162480715,0.095091151074
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,validation,residual,raw,12,1.0,0.083333333333,0.057644057947,0.080654148304,0.025689275386
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,validation,residual,calibrated,12,1.0,0.083333333333,0.04184996399,0.081712318213,0.041483369343
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,test,candidate,raw,17,1.0,0.058823529412,0.059137967389,0.054887639572,0.000314437977
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,test,candidate,calibrated,17,1.0,0.058823529412,0.047130913045,0.055167688517,0.011692616367
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,test,deferred,raw,3,0.0,0.0,0.093746926565,0.008796383368,0.093746926565
