model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
TAPB,biosnap,seed_7,target,base,0.9,0.1,0.2,validation,cross_fitted,869,135.0,87,26.0,782,109.0,True
TAPB,biosnap,seed_7,target,base,0.9,0.1,0.2,test,fitted,225,28.0,22,8.0,203,20.0,True
TAPB,biosnap,seed_7,target,base,0.9,0.2,0.2,validation,cross_fitted,869,135.0,174,57.0,695,78.0,True
TAPB,biosnap,seed_7,target,base,0.9,0.2,0.2,test,fitted,225,28.0,45,15.0,180,13.0,True
TAPB,biosnap,seed_7,drug,base,0.8,0.1,0.2,validation,cross_fitted,954,161.0,95,31.0,859,130.0,True
TAPB,biosnap,seed_7,drug,base,0.8,0.1,0.2,test,fitted,243,34.0,24,7.0,219,27.0,True
TAPB,biosnap,seed_7,drug,base,0.8,0.2,0.2,validation,cross_fitted,954,161.0,191,60.0,763,101.0,True
TAPB,biosnap,seed_7,drug,base,0.8,0.2,0.2,test,fitted,243,34.0,49,18.0,194,16.0,True
TAPB,biosnap,seed_7,drug,base,0.9,0.1,0.2,validation,cross_fitted,869,135.0,87,29.0,782,106.0,True
TAPB,biosnap,seed_7,drug,base,0.9,0.1,0.2,test,fitted,225,28.0,22,8.0,203,20.0,True
TAPB,biosnap,seed_7,drug,base,0.9,0.2,0.2,validation,cross_fitted,869,135.0,174,57.0,695,78.0,True
TAPB,biosnap,seed_7,drug,base,0.9,0.2,0.2,test,fitted,225,28.0,45,15.0,180,13.0,True
TAPB,biosnap,seed_8,target,base,0.8,0.1,0.2,validation,cross_fitted,642,65.0,64,9.0,578,56.0,True
TAPB,biosnap,seed_8,target,base,0.8,0.1,0.2,test,fitted,169,24.0,17,5.0,152,19.0,True
TAPB,biosnap,seed_8,target,base,0.8,0.2,0.2,validation,cross_fitted,642,65.0,128,22.0,514,43.0,True
TAPB,biosnap,seed_8,target,base,0.8,0.2,0.2,test,fitted,169,24.0,34,11.0,135,13.0,True
TAPB,biosnap,seed_8,target,base,0.9,0.1,0.2,validation,cross_fitted,501,40.0,50,10.0,451,30.0,True
TAPB,biosnap,seed_8,target,base,0.9,0.1,0.2,test,fitted,139,15.0,14,4.0,125,11.0,True
TAPB,biosnap,seed_8,target,base,0.9,0.2,0.2,validation,cross_fitted,501,40.0,100,15.0,401,25.0,True
TAPB,biosnap,seed_8,target,base,0.9,0.2,0.2,test,fitted,139,15.0,28,5.0,111,10.0,True
TAPB,biosnap,seed_8,drug,base,0.8,0.1,0.2,validation,cross_fitted,642,65.0,64,10.0,578,55.0,True
TAPB,biosnap,seed_8,drug,base,0.8,0.1,0.2,test,fitted,169,24.0,17,5.0,152,19.0,True
TAPB,biosnap,seed_8,drug,base,0.8,0.2,0.2,validation,cross_fitted,642,65.0,128,23.0,514,42.0,True
TAPB,biosnap,seed_8,drug,base,0.8,0.2,0.2,test,fitted,169,24.0,34,11.0,135,13.0,True
TAPB,biosnap,seed_8,drug,base,0.9,0.1,0.2,validation,cross_fitted,501,40.0,50,7.0,451,33.0,True
TAPB,biosnap,seed_8,drug,base,0.9,0.1,0.2,test,fitted,139,15.0,14,4.0,125,11.0,True
TAPB,biosnap,seed_8,drug,base,0.9,0.2,0.2,validation,cross_fitted,501,40.0,100,13.0,401,27.0,True
TAPB,biosnap,seed_8,drug,base,0.9,0.2,0.2,test,fitted,139,15.0,28,5.0,111,10.0,True
