profile,drug_validation_auprc_mean,drug_validation_auprc_ci_low,drug_validation_auprc_ci_high,drug_validation_auprc_n,drug_validation_delta_auprc_vs_U_mean,drug_validation_delta_auprc_vs_U_ci_low,drug_validation_delta_auprc_vs_U_ci_high,drug_validation_delta_auprc_vs_U_n,drug_test_auprc_mean,drug_test_auprc_ci_low,drug_test_auprc_ci_high,drug_test_auprc_n,drug_test_delta_auprc_vs_U_mean,drug_test_delta_auprc_vs_U_ci_low,drug_test_delta_auprc_vs_U_ci_high,drug_test_delta_auprc_vs_U_n,target_validation_auprc_mean,target_validation_auprc_ci_low,target_validation_auprc_ci_high,target_validation_auprc_n,target_validation_delta_auprc_vs_U_mean,target_validation_delta_auprc_vs_U_ci_low,target_validation_delta_auprc_vs_U_ci_high,target_validation_delta_auprc_vs_U_n,target_test_auprc_mean,target_test_auprc_ci_low,target_test_auprc_ci_high,target_test_auprc_n,target_test_delta_auprc_vs_U_mean,target_test_delta_auprc_vs_U_ci_low,target_test_delta_auprc_vs_U_ci_high,target_test_delta_auprc_vs_U_n
U,0.31043975015432096,0.21372613750000002,0.42093408611111105,36,0.0,0.0,0.0,36,0.3188839407407407,0.25712008111111107,0.38307071069444437,43,0.0,0.0,0.0,43,0.3230326842592593,0.23570304848379628,0.4382135882870367,40,0.0,0.0,0.0,40,0.3188839407407407,0.25604868000000003,0.38185437013888884,43,0.0,0.0,0.0,43
P,0.3798828109567901,0.27524802864197534,0.5191161357214503,36,0.06944306080246913,0.008281712199074054,0.14766455357253058,36,0.3399855222222222,0.26624108745370373,0.41460672115740743,41,0.027821040740740748,-0.019165766157407404,0.08172554722222221,41,0.379746286574074,0.28490449708333326,0.49109055103009214,39,0.07123057222222223,-0.04197305791666667,0.18431139392361098,39,0.33985011296296297,0.2672813134722222,0.41328613513888884,41,0.027685631481481492,-0.017182947268518507,0.07996841430555553,41
U+P,0.37143103055555554,0.2764904440277778,0.48633812550925914,36,0.060991280401234554,0.001074166593364175,0.13695872898148095,36,0.3397911277777778,0.26564294833333335,0.4172186519444444,41,0.027626646296296294,-0.019878885462962965,0.0823508509259259,41,0.3797773912037037,0.2877951816666667,0.4895059200462961,39,0.07126167685185186,-0.040479338553240735,0.1815494275925925,39,0.34027935000000004,0.26841163643518523,0.41340858074074055,41,0.02811486851851852,-0.01715169328703703,0.08011265069444432,41
U+E,0.5239637396604938,0.4231665097337963,0.6385383719791664,36,0.21352398950617282,0.13971055188271606,0.29891861416666626,36,0.4851475166666666,0.39730187499999997,0.5734870073611108,41,0.1729830351851852,0.08546859685185186,0.26040170444444444,41,0.37186142175925924,0.26895547875000003,0.4857953409374998,39,0.06334570740740743,-0.08447838189814814,0.19186288874999996,39,0.48594723888888885,0.39887535046296296,0.5716891862962963,41,0.17378275740740742,0.08792969638888891,0.2584681601388886,41
U+P+E,0.5225236703703704,0.4144581842592593,0.6444422978703703,36,0.21208392021604938,0.13421515734567904,0.3026088580787036,36,0.47774791851851856,0.38259054555555555,0.5686304318055554,41,0.165583437037037,0.07904427722222225,0.2534066817129628,41,0.4174224476851852,0.28220665967592595,0.5703222483680556,39,0.10890673333333332,-0.06959133047453703,0.28622685800925923,39,0.4887877518518519,0.39661150999999994,0.5781578712037038,41,0.1766232703703704,0.09253176027777778,0.26035975125,41
Validation-selected PAUSE,0.5229313337962963,0.3866072466666667,0.6703015161342591,36,0.2124915836419753,0.14468724166666666,0.31492944365740727,36,0.46678163888888885,0.3811051701388889,0.5580866824074073,43,0.14789769814814815,0.06643410138888889,0.23984327930555555,43,0.4944303944444445,0.3645091891203704,0.638811855648148,40,0.17139771018518518,0.057318266562500005,0.3249077283680552,40,0.36100303148148144,0.29642521625,0.4216893538888888,43,0.042119090740740744,0.007295271944444445,0.08167296680555552,43
