split,model,dataset,test_run,group_axis,confidence_source,profile_label,auprc,delta_auprc_vs_U
test,TAPB,bindingdb,seed_7,drug,base,P,0.44330825,0.11378375000000002
test,TAPB,bindingdb,seed_8,drug,base,P,0.47266850000000005,0.10357300000000003
test,TAPB,biosnap,seed_4,drug,base,P,0.22543275000000002,0.055694750000000015
test,TAPB,biosnap,seed_5,drug,base,P,0.11553625000000001,-0.021697749999999988
test,TAPB,biosnap,seed_6,drug,base,P,0.08221975,-0.040840000000000015
test,TAPB,biosnap,seed_7,drug,base,P,0.297793,0.05515274999999997
test,TAPB,biosnap,seed_8,drug,base,P,0.32517,0.10601200000000002
test,TAPB,human,seed_4,drug,base,P,0.3312685,-0.14210724999999996
test,TAPB,human,seed_5,drug,base,P,0.12585649999999998,-0.2439035
test,TAPB,human,seed_6,drug,base,P,0.6135515,0.3958285
test,TAPB,human,seed_7,drug,base,P,0.63339975,0.27606125000000004
test,TAPB,human,seed_8,drug,base,P,0.491309,0.08764850000000002
test,DrugBAN,bindingdb,seed_4,drug,base,U+P,0.5256959999999999,0.02821724999999997
test,DrugBAN,bindingdb,seed_5,drug,base,U+P,0.31718274999999996,0.06388824999999998
test,DrugBAN,bindingdb,seed_6,drug,base,U+P,0.1739115,0.029972500000000013
test,DrugBAN,bindingdb,seed_7,drug,base,U+P,0.398358,0.06612950000000001
test,DrugBAN,bindingdb,seed_8,drug,base,U+P,0.188759,-0.18207450000000003
test,DrugBAN,biosnap,seed_4,drug,base,U+P,0.32090975,0.02867924999999999
test,DrugBAN,biosnap,seed_5,drug,base,U+P,0.41722575,0.07025875000000004
test,DrugBAN,biosnap,seed_6,drug,base,U+P,0.3554525,0.07015700000000002
test,DrugBAN,biosnap,seed_7,drug,base,U+P,0.57227225,0.11844650000000001
test,DrugBAN,biosnap,seed_8,drug,base,U+P,0.32233475,0.029625999999999986
test,DrugBAN,human,seed_4,drug,base,U+P,,
test,DrugBAN,human,seed_5,drug,base,U+P,0.34041299999999997,-0.046932500000000044
