scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_recall_of_residual_errors,90,90,120,30,0.333333,0.394404,0.442457,-0.045098,-0.045098,-0.331589,0.39617,,,DrugBAN
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,90,90,120,30,0.388889,0.042599,0.054659,-0.010424,-0.010424,-0.081369,0.077862,,,DrugBAN
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auprc,112,112,120,8,0.375,0.339273,0.407154,-0.067881,-0.067881,-0.462059,0.13425,,,PACE
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auroc,112,112,120,8,0.392857,0.742319,0.786343,-0.044024,-0.044024,-0.3103,0.121575,,,PACE
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_lift,112,112,120,8,0.330357,2.283485,2.733627,-0.368589,-0.368589,-2.559673,0.848543,,,PACE
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_recall_of_residual_errors,112,112,120,8,0.232143,0.457262,0.54821,-0.074617,-0.074617,-0.5125,0.171154,,,PACE
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,112,112,120,8,0.348214,0.036582,0.047929,-0.01004,-0.01004,-0.071063,0.022754,,,PACE
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auprc,104,104,120,16,0.346154,0.319355,0.370651,-0.051296,-0.051296,-0.354367,0.095942,,,TAPB
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auroc,104,104,120,16,0.423077,0.661579,0.689266,-0.027688,-0.027688,-0.387966,0.149936,,,TAPB
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_lift,104,104,120,16,0.336538,1.865195,2.051022,-0.185827,-0.185827,-2.0475,1.25,,,TAPB
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_recall_of_residual_errors,104,104,120,16,0.375,0.372482,0.409675,-0.037194,-0.037194,-0.4,0.25,,,TAPB
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,104,104,120,16,0.413462,0.030962,0.041123,-0.010161,-0.010161,-0.083577,0.024106,,,TAPB
