model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_v2_profile,selection_metric,validation_metric,validation_gain_vs_U,fallback_reason,u_validation_error_detection_auprc,u2_validation_error_detection_auprc,ue2_validation_error_detection_auprc,u2e2_validation_error_detection_auprc,min_validation_gain,selection_reason
PACE,human,seed_8,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.134434,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.134434,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_8,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.119276,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.119276,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_8,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.148394,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.148394,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_8,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.119276,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.119276,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_8,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.148394,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.148394,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.2348,0.066877,,0.167923,0.153398,0.2348,0.221269,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.230661,0.075566,,0.155095,0.175378,0.230661,0.218873,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,U+E2,validation_error_detection_auprc,0.17579,0.052626,,0.123165,0.089315,0.17579,0.159754,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.152719,0.065594,,0.087125,0.060875,0.152719,0.119257,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.248711,0.071401,,0.17731,0.163188,0.248711,0.238129,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.19239,0.027998,,0.164392,0.14555,0.19239,0.191194,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.181343,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.181343,0.133593,0.170246,0.171784,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.165974,0.08507,,0.080903,0.080538,0.165974,0.153682,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_5,target,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.197906,0.027615,,0.170291,0.146898,0.197143,0.197906,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_5,target,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.143293,0.04152,,0.101774,0.126947,0.138093,0.143293,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_5,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.140653,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.140653,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,biosnap,seed_5,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.112797,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.112797,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,biosnap,seed_5,drug,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.132989,0.020831,,0.112158,0.089377,0.132989,0.12224,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_5,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.162188,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.162188,0.088215,0.118413,0.117897,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,biosnap,seed_5,drug,base,0.9,0.1,0.2,U+E2,validation_error_detection_auprc,0.184226,0.051898,,0.132328,0.117639,0.184226,0.155004,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_5,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.216831,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.216831,0.178016,0.185675,0.180635,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,biosnap,seed_6,target,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.239596,0.030117,,0.209479,0.1485,0.239596,0.20143,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_6,target,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.268027,0.044781,,0.223246,0.20858,0.268027,0.266946,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_6,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.054931,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.054931,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,biosnap,seed_6,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.13926,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.13926,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,biosnap,seed_6,drug,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.265805,0.031646,,0.23416,0.213348,0.256353,0.265805,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_6,drug,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.223339,0.032544,,0.190794,0.150135,0.210533,0.223339,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_6,drug,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.265568,0.126189,,0.139378,0.05986,0.231831,0.265568,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_6,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.068669,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.068669,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,biosnap,seed_7,target,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.295878,0.023173,,0.272705,0.278542,0.292295,0.295878,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_7,target,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.271515,0.033063,,0.238451,0.243318,0.266502,0.271515,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_7,target,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.304671,0.053551,,0.251119,0.269237,0.29185,0.304671,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_7,target,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.281699,0.069845,,0.211854,0.206715,0.281699,0.279905,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_7,drug,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.31211,0.034319,,0.277792,0.259957,0.31211,0.310481,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_7,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.291532,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.291532,0.254607,0.29089,0.284288,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,biosnap,seed_7,drug,base,0.9,0.1,0.2,U+E2,validation_error_detection_auprc,0.311498,0.012941,,0.298557,0.284009,0.311498,0.309666,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_7,drug,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.247861,0.018982,,0.228879,0.182595,0.247861,0.2388,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_8,target,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.170702,0.012308,,0.158394,0.159213,0.170702,0.162824,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_8,target,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.138159,0.014487,,0.123672,0.122334,0.138159,0.137598,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_8,target,base,0.9,0.1,0.2,U+E2,validation_error_detection_auprc,0.199407,0.017733,,0.181674,0.110309,0.199407,0.146863,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_8,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.127398,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.127398,0.102423,0.121014,0.112046,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,biosnap,seed_8,drug,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.212052,0.022256,,0.189796,0.13973,0.212052,0.18786,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_8,drug,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.177969,0.047822,,0.130147,0.104309,0.177969,0.161654,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_8,drug,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.205298,0.049911,,0.155387,0.117072,0.191141,0.205298,0.005,validation_gain_vs_U_meets_threshold
TAPB,biosnap,seed_8,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.117516,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.117516,0.110203,0.122236,0.113198,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.369394,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.369394,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.607937,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.607937,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.525397,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.525397,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_4,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.542857,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.542857,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_4,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_4,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.535489,0.200122,,0.335366,0.489179,0.477078,0.535489,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.512395,0.181149,,0.331245,0.470285,0.476268,0.512395,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_5,target,base,0.9,0.1,0.2,U2,validation_error_detection_auprc,0.52304,0.243608,,0.279432,0.52304,0.423306,0.520005,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_5,target,base,0.9,0.2,0.2,U2,validation_error_detection_auprc,0.448553,0.135367,,0.313187,0.448553,0.362244,0.389274,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_5,drug,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.450008,0.080638,,0.36937,0.361046,0.449709,0.450008,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_5,drug,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.449829,0.066354,,0.383475,0.38212,0.436422,0.449829,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_5,drug,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.498889,0.094055,,0.404834,0.393642,0.494797,0.498889,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_5,drug,base,0.9,0.2,0.2,U2+E2,validation_error_detection_auprc,0.477635,0.093243,,0.384392,0.42382,0.455754,0.477635,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_6,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_6,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_6,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_6,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_6,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_6,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_6,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_6,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_7,target,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.37012,0.014736,,0.355384,0.327422,0.37012,0.368742,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_7,target,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.396286,0.010104,,0.386182,0.297661,0.396286,0.370805,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_7,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.294341,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.294341,0.269338,0.296457,0.290747,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_7,target,base,0.9,0.2,0.2,U2+E2,validation_error_detection_auprc,0.35623,0.07552,,0.28071,0.259639,0.34499,0.35623,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_7,drug,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.454725,0.08318,,0.371546,0.366881,0.452,0.454725,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_7,drug,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.45045,0.081915,,0.368536,0.351337,0.45045,0.442419,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_7,drug,base,0.9,0.1,0.2,U+E2,validation_error_detection_auprc,0.39197,0.034605,,0.357365,0.273645,0.39197,0.379956,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_7,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.3265,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.3265,0.26439,0.315229,0.306796,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,bindingdb,seed_8,target,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.478084,0.103806,,0.374277,0.430684,0.459634,0.478084,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_8,target,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.526777,0.149149,,0.377628,0.503657,0.477201,0.526777,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_8,target,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.49915,0.193376,,0.305774,0.473976,0.48967,0.49915,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_8,target,base,0.9,0.2,0.2,U2+E2,validation_error_detection_auprc,0.497459,0.166696,,0.330763,0.424134,0.487963,0.497459,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_8,drug,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.530033,0.093258,,0.436775,0.469783,0.505261,0.530033,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_8,drug,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.533797,0.114179,,0.419618,0.452168,0.499873,0.533797,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_8,drug,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.524079,0.192823,,0.331256,0.436384,0.501845,0.524079,0.005,validation_gain_vs_U_meets_threshold
TAPB,bindingdb,seed_8,drug,base,0.9,0.2,0.2,U2+E2,validation_error_detection_auprc,0.533822,0.155829,,0.377993,0.464797,0.496348,0.533822,0.005,validation_gain_vs_U_meets_threshold
TAPB,human,seed_4,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.506944,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.506944,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_4,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.03125,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.03125,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_4,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.530303,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.530303,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_4,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.033333,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.033333,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.25754,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.25754,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.253472,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.253472,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_4,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.208874,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.208874,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_4,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.533333,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.533333,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_5,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.401316,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.401316,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_5,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.388386,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.388386,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_5,target,base,0.9,0.1,0.2,U2,validation_error_detection_auprc,0.309524,0.259221,,0.050303,0.309524,0.201923,0.291667,0.005,validation_gain_vs_U_meets_threshold
TAPB,human,seed_5,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.056061,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.056061,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_5,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.134541,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.134541,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_5,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.235761,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.235761,0.142816,0.130313,0.218056,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_5,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.308081,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.308081,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_5,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.2,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.2,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_6,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.194996,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.194996,0.166313,0.187995,0.196753,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_6,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.070211,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.070211,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_6,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.067814,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.067814,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_6,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.078551,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.078551,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_6,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.193462,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.193462,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_6,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.068328,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.068328,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_6,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.066042,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.066042,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_6,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.076263,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.076263,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_7,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.188505,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.188505,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_7,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.479853,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.479853,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_7,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.22321,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.22321,0.203276,0.187213,0.224305,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_7,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.353304,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.353304,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_7,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.365575,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.365575,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_7,drug,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.752525,0.242452,,0.510073,0.534594,0.457496,0.752525,0.005,validation_gain_vs_U_meets_threshold
TAPB,human,seed_7,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.242783,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.242783,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_7,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.363753,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.363753,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_8,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.183218,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.183218,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_8,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.126236,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.126236,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_8,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.224384,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.224384,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_8,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.165263,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.165263,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_8,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.248729,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.248729,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_8,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.073372,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.073372,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_8,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.362284,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.362284,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
TAPB,human,seed_8,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.078247,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.078247,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.468959,0.126486,,0.342473,0.365931,0.468959,0.460621,0.005,validation_gain_vs_U_meets_threshold
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.446475,0.161156,,0.285319,0.362531,0.439406,0.446475,0.005,validation_gain_vs_U_meets_threshold
