model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,comparison,metric,delta,selected_v2_profile
PACE,bindingdb,seed_4,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.091426,
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.02056,
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.011984,
PACE,bindingdb,seed_5,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.034722,
PACE,bindingdb,seed_5,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.005494,
PACE,bindingdb,seed_5,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.001309,
PACE,bindingdb,seed_5,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.009102,
PACE,bindingdb,seed_5,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,bindingdb,seed_5,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,bindingdb,seed_6,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.194132,
PACE,bindingdb,seed_6,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.037691,
PACE,bindingdb,seed_6,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
PACE,bindingdb,seed_6,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
PACE,bindingdb,seed_6,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,bindingdb,seed_6,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,bindingdb,seed_6,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
PACE,bindingdb,seed_6,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
PACE,bindingdb,seed_7,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.326938,
PACE,bindingdb,seed_7,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.410369,
PACE,bindingdb,seed_7,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
PACE,bindingdb,seed_7,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
PACE,bindingdb,seed_7,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.23517,
PACE,bindingdb,seed_7,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.254564,
PACE,bindingdb,seed_7,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
PACE,bindingdb,seed_7,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
PACE,bindingdb,seed_8,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,bindingdb,seed_8,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,bindingdb,seed_8,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,bindingdb,seed_8,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,bindingdb,seed_8,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.000757,
PACE,bindingdb,seed_8,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,bindingdb,seed_8,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.047129,
PACE,bindingdb,seed_8,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.012389,
PACE,human,seed_4,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_4,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_4,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.01638,
PACE,human,seed_4,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_4,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_4,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,human,seed_4,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.053645,
PACE,human,seed_4,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.04813,
PACE,human,seed_5,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.063926,
PACE,human,seed_5,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.043155,
PACE,human,seed_5,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.037419,
PACE,human,seed_5,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.043155,
PACE,human,seed_5,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.071794,
PACE,human,seed_5,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.043155,
PACE,human,seed_5,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.053292,
PACE,human,seed_5,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.022453,
PACE,human,seed_6,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
