model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual
TAPB,human,seed_5,target,base,0.9,0.2,0.2,test,fixed_hgb_upe,baseline,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,81,16,65,8.0,0.123076923077,0.5,0.123076923077,13,1.6,0.123076923077,1.0,0.2,0.573333333333,0.876923076923,0.0,29,0.358024691358,55.0,8.0,0.145454545455,0.5,0.145454545455,11.0,1.6,0.145454545455,1.0,0.2,0.573333333333,0.854545454545,0.0
TAPB,human,seed_5,target,base,0.9,0.2,0.3,validation,uncertainty,primary,complete,calibrated_error_risk,0.088888888889,0.022222222222,37,7,30,2.0,0.066666666667,0.214285714286,0.062030075188,9,0.0,0.0,0.0,0.0,0.333333333333,0.904761904762,-0.028571428571,16,0.432432432432,,,,,,,,,,,,,
TAPB,human,seed_5,target,base,0.9,0.2,0.3,validation,prior,primary,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.10101010101,0.010101010101,37,7,30,2.0,0.066666666667,0.392857142857,0.083916083916,9,0.0,0.0,0.0,0.0,0.333333333333,0.904761904762,-0.028571428571,16,0.432432432432,,,,,,,,,,,,,
TAPB,human,seed_5,target,base,0.9,0.2,0.3,validation,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.126984126984,0.015873015873,37,7,30,2.0,0.066666666667,0.464285714286,0.097222222222,9,1.0,0.111111111111,1.666666666667,0.5,0.666666666667,0.952380952381,0.019047619048,16,0.432432432432,,,,,,,,,,,,,
TAPB,human,seed_5,target,base,0.9,0.2,0.3,validation,uncertainty_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,1.0,0.0,37,7,30,2.0,0.066666666667,0.857142857143,0.6,9,1.0,0.111111111111,1.666666666667,0.5,0.666666666667,0.952380952381,0.019047619048,16,0.432432432432,,,,,,,,,,,,,
TAPB,human,seed_5,target,base,0.9,0.2,0.3,validation,uncertainty_prior_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.5,0.0,37,7,30,2.0,0.066666666667,0.946428571429,0.5,9,2.0,0.222222222222,3.333333333333,1.0,1.0,1.0,0.066666666667,16,0.432432432432,,,,,,,,,,,,,
TAPB,human,seed_5,target,base,0.9,0.2,0.3,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,37,7,30,2.0,0.066666666667,0.678571428571,0.302631578947,9,1.0,0.111111111111,1.666666666667,0.5,0.666666666667,0.952380952381,0.019047619048,16,0.432432432432,,,,,,,,,,,,,
TAPB,human,seed_5,target,base,0.9,0.2,0.3,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,37,7,30,2.0,0.066666666667,0.142857142857,0.057142857143,9,0.0,0.0,0.0,0.0,0.333333333333,0.904761904762,-0.028571428571,16,0.432432432432,,,,,,,,,,,,,
TAPB,human,seed_5,target,base,0.9,0.2,0.3,validation,native_density,baseline,complete,native_domain_density_distance,,,37,7,30,2.0,0.066666666667,0.232142857143,0.063492063492,9,0.0,0.0,0.0,0.0,0.333333333333,0.904761904762,-0.028571428571,16,0.432432432432,,,,,,,,,,,,,
TAPB,human,seed_5,target,base,0.9,0.2,0.3,validation,fixed_hgb_upe,baseline,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.066666666667,0.0,37,7,30,2.0,0.066666666667,0.5,0.066666666667,9,0.6,0.066666666667,1.0,0.3,0.533333333333,0.933333333333,0.0,16,0.432432432432,,,,,,,,,,,,,
TAPB,human,seed_5,target,base,0.9,0.2,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,81,16,65,8.0,0.123076923077,0.739035087719,0.285616091288,20,4.0,0.2,1.625,0.5,0.733333333333,0.911111111111,0.034188034188,36,0.444444444444,55.0,8.0,0.145454545455,0.734042553191,0.308327506568,16.0,4.0,0.25,1.71875,0.5,0.733333333333,0.897435897436,0.04289044289
TAPB,human,seed_5,target,base,0.9,0.2,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,81,16,65,8.0,0.123076923077,0.524122807018,0.149279947993,20,1.0,0.05,0.40625,0.125,0.533333333333,0.844444444444,-0.032478632479,36,0.444444444444,55.0,8.0,0.145454545455,0.523936170213,0.180408744948,16.0,1.0,0.0625,0.4296875,0.125,0.533333333333,0.820512820513,-0.034032634033
TAPB,human,seed_5,target,base,0.9,0.2,0.3,test,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,81,16,65,8.0,0.123076923077,0.649122807018,0.175020237578,20,3.0,0.15,1.21875,0.375,0.666666666667,0.888888888889,0.011965811966,36,0.444444444444,55.0,8.0,0.145454545455,0.643617021277,0.203181111652,16.0,3.0,0.1875,1.2890625,0.375,0.666666666667,0.871794871795,0.017249417249
TAPB,human,seed_5,target,base,0.9,0.2,0.3,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,81,16,65,8.0,0.123076923077,0.554824561404,0.266444992916,20,4.0,0.2,1.625,0.5,0.733333333333,0.911111111111,0.034188034188,36,0.444444444444,55.0,8.0,0.145454545455,0.523936170213,0.278386265815,16.0,3.0,0.1875,1.2890625,0.375,0.666666666667,0.871794871795,0.017249417249
TAPB,human,seed_5,target,base,0.9,0.2,0.3,test,uncertainty_prior_support,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,81,16,65,8.0,0.123076923077,0.714912280702,0.334595959596,20,3.0,0.15,1.21875,0.375,0.666666666667,0.888888888889,0.011965811966,36,0.444444444444,55.0,8.0,0.145454545455,0.68085106383,0.344095763123,16.0,3.0,0.1875,1.2890625,0.375,0.666666666667,0.871794871795,0.017249417249
TAPB,human,seed_5,target,base,0.9,0.2,0.3,test,raw_uncertainty,baseline,complete,raw_error_risk,,,81,16,65,8.0,0.123076923077,0.739035087719,0.285616091288,20,4.0,0.2,1.625,0.5,0.733333333333,0.911111111111,0.034188034188,36,0.444444444444,55.0,8.0,0.145454545455,0.734042553191,0.308327506568,16.0,4.0,0.25,1.71875,0.5,0.733333333333,0.897435897436,0.04289044289
TAPB,human,seed_5,target,base,0.9,0.2,0.3,test,native_max_shift,baseline,complete,native_domain_shift_score,,,81,16,65,8.0,0.123076923077,0.414473684211,0.330986887509,20,2.0,0.1,0.8125,0.25,0.6,0.866666666667,-0.010256410256,36,0.444444444444,55.0,8.0,0.145454545455,0.438829787234,0.349974148677,16.0,2.0,0.125,0.859375,0.25,0.6,0.846153846154,-0.008391608392
TAPB,human,seed_5,target,base,0.9,0.2,0.3,test,native_density,baseline,complete,native_domain_density_distance,,,81,16,65,8.0,0.123076923077,0.390350877193,0.32774807471,20,2.0,0.1,0.8125,0.25,0.6,0.866666666667,-0.010256410256,36,0.444444444444,55.0,8.0,0.145454545455,0.409574468085,0.344812846182,16.0,2.0,0.125,0.859375,0.25,0.6,0.846153846154,-0.008391608392
TAPB,human,seed_5,target,base,0.9,0.2,0.3,test,fixed_hgb_upe,baseline,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,81,16,65,8.0,0.123076923077,0.5,0.123076923077,20,2.461538461538,0.123076923077,1.0,0.307692307692,0.630769230769,0.876923076923,0.0,36,0.444444444444,55.0,8.0,0.145454545455,0.5,0.145454545455,16.0,2.327272727273,0.145454545455,1.0,0.290909090909,0.621818181818,0.854545454545,0.0
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,validation,uncertainty,primary,group_cv_unavailable,,,,42,4,38,3.0,0.078947368421,0.638095238095,0.18305171531,2,0.0,0.0,0.0,0.0,0.25,0.916666666667,-0.004385964912,6,0.142857142857,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,validation,prior,primary,group_cv_unavailable,,,,42,4,0,0.0,,,,0,,,,,,,,4,0.095238095238,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,validation,uncertainty_prior,primary,group_cv_unavailable,,,,42,4,0,0.0,,,,0,,,,,,,,4,0.095238095238,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,validation,uncertainty_support,primary,group_cv_unavailable,,,,42,4,0,0.0,,,,0,,,,,,,,4,0.095238095238,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,validation,uncertainty_prior_support,primary,group_cv_unavailable,,,,42,4,0,0.0,,,,0,,,,,,,,4,0.095238095238,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,42,4,38,3.0,0.078947368421,0.67619047619,0.194444444444,2,0.0,0.0,0.0,0.0,0.25,0.916666666667,-0.004385964912,6,0.142857142857,,,,,,,,,,,,,
TAPB,human,seed_5,drug,base,0.8,0.1,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,42,4,38,3.0,0.078947368421,0.142857142857,0.06016684483,2,0.0,0.0,0.0,0.0,0.25,0.916666666667,-0.004385964912,6,0.142857142857,,,,,,,,,,,,,
