model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_deduplicated_error_detection_auroc,delta_deduplicated_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_deduplicated_error_detection_auprc,delta_deduplicated_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_deduplicated_review_error_rate,delta_deduplicated_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_deduplicated_review_lift,delta_deduplicated_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_deduplicated_review_recall_of_residual_errors,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_deduplicated_combined_recall_of_candidate_errors,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_after_review,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_gain_vs_residual,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
PACE,human,seed_4,target,base,0.9,0.1,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,91,9,82,17.0,0.207317073171,0.87149321267,0.625201531551,16,9.0,0.5625,2.713235294118,0.529411764706,0.578947368421,0.878787878788,0.086104951959,73,17.0,0.232876712329,0.879201680672,0.667786405934,15,9.0,0.6,2.576470588235,0.529411764706,0.578947368421,0.862068965517,0.094945677846,25,0.274725274725,prior,False,one_standard_error,0.866968325792,0.004524886878,0.872899159664,0.006302521008,0.628407841227,-0.003206309676,0.665651380803,0.002135025131,0.5625,0.0,0.6,0.0,2.713235294118,0.0,2.576470588235,0.0,0.529411764706,0.0,0.529411764706,0.0,0.578947368421,0.0,0.578947368421,0.0,0.878787878788,0.0,0.862068965517,0.0,0.086104951959,0.0,0.094945677846,0.0
PACE,human,seed_4,target,base,0.9,0.1,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,91,9,82,17.0,0.207317073171,0.87149321267,0.625201531551,25,13.0,0.52,2.508235294118,0.764705882353,0.789473684211,0.929824561404,0.137141634574,73,17.0,0.232876712329,0.879201680672,0.667786405934,22,13.0,0.590909090909,2.53743315508,0.764705882353,0.789473684211,0.921568627451,0.15444533978,34,0.373626373626,prior,False,one_standard_error,0.866968325792,0.004524886878,0.872899159664,0.006302521008,0.628407841227,-0.003206309676,0.665651380803,0.002135025131,0.52,0.0,0.590909090909,0.0,2.508235294118,0.0,2.53743315508,0.0,0.764705882353,0.0,0.764705882353,0.0,0.789473684211,0.0,0.789473684211,0.0,0.929824561404,0.0,0.921568627451,0.0,0.137141634574,0.0,0.15444533978,0.0
PACE,human,seed_4,target,base,0.9,0.2,0.05,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,91,18,73,11.0,0.150684931507,0.722873900293,0.440277389284,4,2.0,0.5,3.318181818182,0.181818181818,0.526315789474,0.869565217391,0.020250148898,65,11.0,0.169230769231,0.718855218855,0.457715142289,3,2.0,0.666666666667,3.939393939394,0.181818181818,0.526315789474,0.854838709677,0.024069478908,22,0.241758241758,uncertainty_support,False,one_standard_error,0.843108504399,-0.120234604106,0.845117845118,-0.126262626263,0.544969511685,-0.104692122401,0.574810442083,-0.117095299794,0.75,-0.25,0.666666666667,0.0,4.977272727273,-1.659090909091,3.939393939394,0.0,0.272727272727,-0.090909090909,0.181818181818,0.0,0.578947368421,-0.052631578947,0.526315789474,0.0,0.884057971014,-0.014492753623,0.854838709677,0.0,0.034742902521,-0.014492753623,0.024069478908,0.0
PACE,human,seed_4,target,base,0.9,0.2,0.1,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,91,18,73,11.0,0.150684931507,0.722873900293,0.440277389284,7,3.0,0.428571428571,2.844155844156,0.272727272727,0.578947368421,0.878787878788,0.029472810295,65,11.0,0.169230769231,0.718855218855,0.457715142289,6,3.0,0.5,2.954545454545,0.272727272727,0.578947368421,0.864406779661,0.033637548892,25,0.274725274725,uncertainty_support,False,one_standard_error,0.843108504399,-0.120234604106,0.845117845118,-0.126262626263,0.544969511685,-0.104692122401,0.574810442083,-0.117095299794,0.428571428571,0.0,0.5,0.0,2.844155844156,0.0,2.954545454545,0.0,0.272727272727,0.0,0.272727272727,0.0,0.578947368421,0.0,0.578947368421,0.0,0.878787878788,0.0,0.864406779661,0.0,0.029472810295,0.0,0.033637548892,0.0
PACE,human,seed_4,target,base,0.9,0.2,0.2,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,91,18,73,11.0,0.150684931507,0.722873900293,0.440277389284,15,6.0,0.4,2.654545454545,0.545454545455,0.736842105263,0.913793103448,0.064478034955,65,11.0,0.169230769231,0.718855218855,0.457715142289,13,5.0,0.384615384615,2.272727272727,0.454545454545,0.684210526316,0.884615384615,0.053846153846,33,0.362637362637,uncertainty_support,False,one_standard_error,0.843108504399,-0.120234604106,0.845117845118,-0.126262626263,0.544969511685,-0.104692122401,0.574810442083,-0.117095299794,0.466666666667,-0.066666666667,0.538461538462,-0.153846153846,3.09696969697,-0.442424242424,3.181818181818,-0.909090909091,0.636363636364,-0.090909090909,0.636363636364,-0.181818181818,0.789473684211,-0.052631578947,0.789473684211,-0.105263157895,0.931034482759,-0.01724137931,0.923076923077,-0.038461538462,0.081719414265,-0.01724137931,0.092307692308,-0.038461538462
PACE,human,seed_4,target,base,0.9,0.2,0.3,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,91,18,73,11.0,0.150684931507,0.722873900293,0.440277389284,22,7.0,0.318181818182,2.111570247934,0.636363636364,0.789473684211,0.921568627451,0.072253558958,65,11.0,0.169230769231,0.718855218855,0.457715142289,20,7.0,0.35,2.068181818182,0.636363636364,0.789473684211,0.911111111111,0.080341880342,40,0.43956043956,uncertainty_support,False,one_standard_error,0.843108504399,-0.120234604106,0.845117845118,-0.126262626263,0.544969511685,-0.104692122401,0.574810442083,-0.117095299794,0.318181818182,0.0,0.35,0.0,2.111570247934,0.0,2.068181818182,0.0,0.636363636364,0.0,0.636363636364,0.0,0.789473684211,0.0,0.789473684211,0.0,0.921568627451,0.0,0.911111111111,0.0,0.072253558958,0.0,0.080341880342,0.0
PACE,human,seed_4,drug,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,95,10,85,17.0,0.2,0.828719723183,0.452735026411,4,1.0,0.25,1.25,0.058823529412,0.2,0.802469135802,0.002469135802,74,17.0,0.22972972973,0.857585139319,0.576515938886,4,2.0,0.5,2.176470588235,0.117647058824,0.25,0.785714285714,0.015444015444,14,0.147368421053,uncertainty,True,no_finite_group_cv_candidate,0.828719723183,0.0,0.857585139319,0.0,0.452735026411,0.0,0.576515938886,0.0,0.25,0.0,0.5,0.0,1.25,0.0,2.176470588235,0.0,0.058823529412,0.0,0.117647058824,0.0,0.2,0.0,0.25,0.0,0.802469135802,0.0,0.785714285714,0.0,0.002469135802,0.0,0.015444015444,0.0
PACE,human,seed_4,drug,base,0.8,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,95,10,85,17.0,0.2,0.828719723183,0.452735026411,8,4.0,0.5,2.5,0.235294117647,0.35,0.831168831169,0.031168831169,74,17.0,0.22972972973,0.857585139319,0.576515938886,7,4.0,0.571428571429,2.487394957983,0.235294117647,0.35,0.805970149254,0.035699878983,18,0.189473684211,uncertainty,True,no_finite_group_cv_candidate,0.828719723183,0.0,0.857585139319,0.0,0.452735026411,0.0,0.576515938886,0.0,0.5,0.0,0.571428571429,0.0,2.5,0.0,2.487394957983,0.0,0.235294117647,0.0,0.235294117647,0.0,0.35,0.0,0.35,0.0,0.831168831169,0.0,0.805970149254,0.0,0.031168831169,0.0,0.035699878983,0.0
PACE,human,seed_4,drug,base,0.8,0.1,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,95,10,85,17.0,0.2,0.828719723183,0.452735026411,17,9.0,0.529411764706,2.647058823529,0.529411764706,0.6,0.882352941176,0.082352941176,74,17.0,0.22972972973,0.857585139319,0.576515938886,15,9.0,0.6,2.611764705882,0.529411764706,0.6,0.864406779661,0.094136509391,27,0.284210526316,uncertainty,True,no_finite_group_cv_candidate,0.828719723183,0.0,0.857585139319,0.0,0.452735026411,0.0,0.576515938886,0.0,0.529411764706,0.0,0.6,0.0,2.647058823529,0.0,2.611764705882,0.0,0.529411764706,0.0,0.529411764706,0.0,0.6,0.0,0.6,0.0,0.882352941176,0.0,0.864406779661,0.0,0.082352941176,0.0,0.094136509391,0.0
PACE,human,seed_4,drug,base,0.8,0.1,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,95,10,85,17.0,0.2,0.828719723183,0.452735026411,26,13.0,0.5,2.5,0.764705882353,0.8,0.932203389831,0.132203389831,74,17.0,0.22972972973,0.857585139319,0.576515938886,22,13.0,0.590909090909,2.572192513369,0.764705882353,0.8,0.923076923077,0.152806652807,36,0.378947368421,uncertainty,True,no_finite_group_cv_candidate,0.828719723183,0.0,0.857585139319,0.0,0.452735026411,0.0,0.576515938886,0.0,0.5,0.0,0.590909090909,0.0,2.5,0.0,2.572192513369,0.0,0.764705882353,0.0,0.764705882353,0.0,0.8,0.0,0.8,0.0,0.932203389831,0.0,0.923076923077,0.0,0.132203389831,0.0,0.152806652807,0.0
