model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_prior_support,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,158,16,142,26.0,0.183098591549,0.85775862069,0.524513032518,7,4.0,0.571428571429,3.120879120879,0.153846153846,0.3125,0.837037037037,0.020135628586,23,0.145569620253
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,test,raw_uncertainty,baseline,complete,raw_error_risk,,,158,16,142,26.0,0.183098591549,0.707228116711,0.318832007055,7,2.0,0.285714285714,1.56043956044,0.076923076923,0.25,0.822222222222,0.005320813772,23,0.145569620253
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,test,native_max_shift,baseline,complete,native_domain_shift_score,,,158,16,142,26.0,0.183098591549,0.454907161804,0.177840131047,7,0.5,0.071428571429,0.39010989011,0.019230769231,0.203125,0.811111111111,-0.00579029734,23,0.145569620253
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,test,native_density,baseline,complete,native_domain_density_distance,,,158,16,142,26.0,0.183098591549,0.438163129973,0.171246793846,7,2.0,0.285714285714,1.56043956044,0.076923076923,0.25,0.822222222222,0.005320813772,23,0.145569620253
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,test,fixed_hgb_upe,baseline,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,158,16,142,26.0,0.183098591549,0.816312997347,0.473018650004,7,3.0,0.428571428571,2.340659340659,0.115384615385,0.28125,0.82962962963,0.012728221179,23,0.145569620253
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty,primary,complete,calibrated_error_risk,0.369827049367,0.066784625095,647,65,582,120.0,0.20618556701,0.6806998557,0.354395838499,58,22.0,0.379310344828,1.839655172414,0.183333333333,0.324137931034,0.812977099237,0.019162666247,123,0.190108191654
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.1,validation,prior,primary,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.397087975469,0.042853536251,647,65,582,120.0,0.20618556701,0.67876984127,0.335963008839,58,23.0,0.396551724138,1.923275862069,0.191666666667,0.331034482759,0.814885496183,0.021071063194,123,0.190108191654
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.396410161521,0.04253171488,647,65,582,120.0,0.20618556701,0.678589466089,0.335874187183,58,23.0,0.396551724138,1.923275862069,0.191666666667,0.331034482759,0.814885496183,0.021071063194,123,0.190108191654
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.462538651402,0.011425942794,647,65,582,120.0,0.20618556701,0.73676046176,0.394935475054,58,23.0,0.396551724138,1.923275862069,0.191666666667,0.331034482759,0.814885496183,0.021071063194,123,0.190108191654
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_prior_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.488737368382,0.064836321651,647,65,582,120.0,0.20618556701,0.770418470418,0.415556650699,58,26.0,0.448275862069,2.174137931034,0.216666666667,0.351724137931,0.820610687023,0.026796254033,123,0.190108191654
