model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,118,12,106,14.0,0.132075471698,0.674689440994,0.300525869645,21,6.0,0.285714285714,2.163265306122,0.428571428571,0.578947368421,0.905882352941,0.037957824639,33,0.279661016949,prior,False,one_standard_error,0.697204968944,-0.02251552795,0.272762505697,0.027763363948,0.333333333333,-0.047619047619,2.52380952381,-0.360544217687,0.5,-0.071428571429,0.631578947368,-0.052631578947,0.917647058824,-0.011764705882,0.049722530522,-0.011764705882
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,118,12,106,14.0,0.132075471698,0.674689440994,0.300525869645,32,7.0,0.21875,1.65625,0.5,0.631578947368,0.905405405405,0.037480877104,44,0.372881355932,prior,False,one_standard_error,0.697204968944,-0.02251552795,0.272762505697,0.027763363948,0.21875,0.0,1.65625,0.0,0.5,0.0,0.631578947368,0.0,0.905405405405,0.0,0.037480877104,0.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,118,24,94,10.0,0.106382978723,0.652380952381,0.218966235543,5,2.0,0.4,3.76,0.2,0.578947368421,0.910112359551,0.016495338274,29,0.245762711864,uncertainty,True,uncertainty_selected,0.652380952381,0.0,0.218966235543,0.0,0.4,0.0,3.76,0.0,0.2,0.0,0.578947368421,0.0,0.910112359551,0.0,0.016495338274,0.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,118,24,94,10.0,0.106382978723,0.652380952381,0.218966235543,9,3.0,0.333333333333,3.133333333333,0.3,0.631578947368,0.917647058824,0.024030037547,33,0.279661016949,uncertainty,True,uncertainty_selected,0.652380952381,0.0,0.218966235543,0.0,0.333333333333,0.0,3.133333333333,0.0,0.3,0.0,0.631578947368,0.0,0.917647058824,0.0,0.024030037547,0.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,118,24,94,10.0,0.106382978723,0.652380952381,0.218966235543,19,3.0,0.157894736842,1.484210526316,0.3,0.631578947368,0.906666666667,0.01304964539,43,0.364406779661,uncertainty,True,uncertainty_selected,0.652380952381,0.0,0.218966235543,0.0,0.157894736842,0.0,1.484210526316,0.0,0.3,0.0,0.631578947368,0.0,0.906666666667,0.0,0.01304964539,0.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,118,24,94,10.0,0.106382978723,0.652380952381,0.218966235543,28,4.0,0.142857142857,1.342857142857,0.4,0.684210526316,0.909090909091,0.015473887814,52,0.440677966102,uncertainty,True,uncertainty_selected,0.652380952381,0.0,0.218966235543,0.0,0.142857142857,0.0,1.342857142857,0.0,0.4,0.0,0.684210526316,0.0,0.909090909091,0.0,0.015473887814,0.0
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.05,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,158,16,142,26.0,0.183098591549,0.869031830239,0.562777911914,7,4.0,0.571428571429,3.120879120879,0.153846153846,0.3125,0.837037037037,0.020135628586,23,0.145569620253,uncertainty_support,False,one_standard_error,0.707228116711,0.161803713528,0.318832007055,0.243945904858,0.285714285714,0.285714285714,1.56043956044,1.56043956044,0.076923076923,0.076923076923,0.25,0.0625,0.822222222222,0.014814814815,0.005320813772,0.014814814815
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.1,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,158,16,142,26.0,0.183098591549,0.869031830239,0.562777911914,14,8.0,0.571428571429,3.120879120879,0.307692307692,0.4375,0.859375,0.042473591549,30,0.189873417722,uncertainty_support,False,one_standard_error,0.707228116711,0.161803713528,0.318832007055,0.243945904858,0.285714285714,0.285714285714,1.56043956044,1.56043956044,0.153846153846,0.153846153846,0.3125,0.125,0.828125,0.03125,0.011223591549,0.03125
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,158,16,142,26.0,0.183098591549,0.869031830239,0.562777911914,28,15.0,0.535714285714,2.925824175824,0.576923076923,0.65625,0.90350877193,0.086607363479,44,0.278481012658,uncertainty_support,False,one_standard_error,0.707228116711,0.161803713528,0.318832007055,0.243945904858,0.357142857143,0.178571428571,1.950549450549,0.975274725275,0.384615384615,0.192307692308,0.5,0.15625,0.859649122807,0.043859649123,0.042747714356,0.043859649123
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.3,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,158,16,142,26.0,0.183098591549,0.869031830239,0.562777911914,43,19.0,0.441860465116,2.413237924866,0.730769230769,0.78125,0.929292929293,0.112391520842,59,0.373417721519,uncertainty_support,False,one_standard_error,0.707228116711,0.161803713528,0.318832007055,0.243945904858,0.325581395349,0.116279069767,1.778175313059,0.635062611807,0.538461538462,0.192307692308,0.625,0.15625,0.878787878788,0.050505050505,0.061886470337,0.050505050505
