transfer_type,held_out_domain,group_axis,transferred_profile,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.1470411875,0.003968166667,0.222182925625,12,0.833333333333
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.0440205625,0.002317583333,0.067050109479,12,0.833333333333
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_deduplicated_error_detection_auprc_vs_uncertainty,0.09021975,-0.0663025,0.18935025,3,0.666666666667
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_deduplicated_review_error_rate_vs_uncertainty,0.033101833333,-0.01875,0.1180555,3,0.333333333333
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,0.01785725,-0.01785725,0.071429,3,0.333333333333
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,0.0078875,-0.005476,0.0291385,3,0.333333333333
leave_one_model_out,DrugBAN,target,prior,delta_error_detection_auprc_vs_uncertainty,0.020404307692,-0.038159794444,0.064588466667,13,0.692307692308
leave_one_model_out,DrugBAN,target,prior,delta_review_error_rate_vs_uncertainty,-0.008720104167,-0.123319666667,0.058107201875,12,0.5
leave_one_model_out,DrugBAN,target,prior,delta_combined_recall_of_candidate_errors_vs_uncertainty,-0.02789225,-0.163492277778,0.040495862917,12,0.5
leave_one_model_out,DrugBAN,target,prior,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,-0.0023055,-0.031213166667,0.014314726562,12,0.5
leave_one_model_out,DrugBAN,target,prior,delta_deduplicated_error_detection_auprc_vs_uncertainty,-0.035808333333,-0.0922895,0.012673,3,0.333333333333
leave_one_model_out,DrugBAN,target,prior,delta_deduplicated_review_error_rate_vs_uncertainty,-0.122062916667,-0.17670475,-0.0714285,3,0.0
leave_one_model_out,DrugBAN,target,prior,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,-0.155952416667,-0.25,-0.0714285,3,0.0
leave_one_model_out,DrugBAN,target,prior,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,-0.030372666667,-0.044122,-0.0178575,3,0.0
leave_one_model_out,PACE,drug,uncertainty_support,delta_error_detection_auprc_vs_uncertainty,0.113415838889,-0.054502916528,0.259205016667,15,0.666666666667
leave_one_model_out,PACE,drug,uncertainty_support,delta_review_error_rate_vs_uncertainty,0.069591733333,-0.029341669583,0.157353625833,15,0.733333333333
leave_one_model_out,PACE,drug,uncertainty_support,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.112564744444,-0.019511209861,0.231759045417,15,0.666666666667
leave_one_model_out,PACE,drug,uncertainty_support,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.017622683333,-0.00745558,0.039607416667,15,0.733333333333
leave_one_model_out,PACE,drug,uncertainty_support,delta_deduplicated_error_detection_auprc_vs_uncertainty,-0.109642033333,-0.19669525,-0.031471033333,5,0.2
leave_one_model_out,PACE,drug,uncertainty_support,delta_deduplicated_review_error_rate_vs_uncertainty,-0.062271333333,-0.148645133333,0.0401463,5,0.2
leave_one_model_out,PACE,drug,uncertainty_support,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,-0.045720866667,-0.112065066667,0.0379413,5,0.2
leave_one_model_out,PACE,drug,uncertainty_support,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,-0.01508775,-0.0364466,0.01048105,5,0.2
leave_one_model_out,PACE,target,prior,delta_error_detection_auprc_vs_uncertainty,0.011814666667,-0.029124464167,0.067635533333,15,0.4
leave_one_model_out,PACE,target,prior,delta_review_error_rate_vs_uncertainty,0.01097645,-0.028109745,0.0625877,15,0.4
leave_one_model_out,PACE,target,prior,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.020275,-0.031834054167,0.101726978333,15,0.4
leave_one_model_out,PACE,target,prior,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.002720583333,-0.006938425,0.01532184125,15,0.4
