transfer_type,held_out_domain,model,dataset,test_run,group_axis,transferred_profile,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,delta_deduplicated_error_detection_auprc_vs_uncertainty,delta_deduplicated_review_error_rate_vs_uncertainty,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
leave_one_dataset_out,biosnap,PACE,biosnap,seed_5,target,uncertainty_prior_support,0.2259475,0.20421225,0.40430675,0.051018,,,,
leave_one_dataset_out,biosnap,PACE,biosnap,seed_6,drug,uncertainty_support,0.167132,0.048649,0.08618025,0.01208775,,,,
leave_one_dataset_out,biosnap,PACE,biosnap,seed_6,target,uncertainty_prior_support,0.13149375,0.04107325,0.07531075,0.010208,,,,
leave_one_dataset_out,biosnap,PACE,biosnap,seed_7,drug,uncertainty_support,-0.01096875,0.02377225,0.05,0.00600125,,,,
leave_one_dataset_out,biosnap,PACE,biosnap,seed_7,target,uncertainty_prior_support,0.0126605,0.043212,0.1125,0.01089075,,,,
leave_one_dataset_out,biosnap,PACE,biosnap,seed_8,drug,uncertainty_support,0.23186,0.16365725,0.2675,0.04067525,,,,
leave_one_dataset_out,biosnap,PACE,biosnap,seed_8,target,uncertainty_prior_support,0.1870775,0.15069425,0.2475,0.03746875,,,,
leave_one_dataset_out,biosnap,TAPB,biosnap,seed_4,drug,uncertainty_support,0.223192,0.119255,0.176852,0.02974825,,,,
leave_one_dataset_out,biosnap,TAPB,biosnap,seed_4,target,uncertainty_prior_support,0.216125,0.1261995,0.18611125,0.0314965,,,,
leave_one_dataset_out,biosnap,TAPB,biosnap,seed_5,drug,uncertainty_support,0.20424025,0.08712275,0.17613675,0.02162825,,,,
leave_one_dataset_out,biosnap,TAPB,biosnap,seed_5,target,uncertainty_prior_support,0.1677695,0.09799225,0.198864,0.02434575,,,,
leave_one_dataset_out,biosnap,TAPB,biosnap,seed_6,drug,uncertainty_support,0.1650925,0.08756275,0.26111125,0.021593,,,,
leave_one_dataset_out,biosnap,TAPB,biosnap,seed_6,target,uncertainty_prior_support,0.1489925,0.0838425,0.238889,0.020712,,,,
leave_one_dataset_out,biosnap,TAPB,biosnap,seed_7,drug,uncertainty_support,0.128874,0.07360525,0.09453775,0.01853175,,,,
leave_one_dataset_out,biosnap,TAPB,biosnap,seed_7,target,uncertainty_prior_support,0.16202975,0.06224175,0.07983175,0.01567475,,,,
leave_one_dataset_out,biosnap,TAPB,biosnap,seed_8,drug,uncertainty_support,0.297536,0.099276,0.1416665,0.02465525,,,,
leave_one_dataset_out,biosnap,TAPB,biosnap,seed_8,target,uncertainty_prior_support,0.292081,0.078653,0.114583,0.01953125,,,,
leave_one_dataset_out,human,DrugBAN,human,seed_4,drug,uncertainty_support,,,,,,,,
leave_one_dataset_out,human,DrugBAN,human,seed_4,target,prior,,,,,,,,
leave_one_dataset_out,human,DrugBAN,human,seed_5,drug,uncertainty_support,0.16667,0.05,0.035714,0.0128205,0.1476115,0.1180555,0.071429,0.0291385
leave_one_dataset_out,human,DrugBAN,human,seed_5,target,prior,0.001059,-0.190909,-0.1428575,-0.0483685,0.012673,-0.1180555,-0.0714285,-0.0291385
leave_one_dataset_out,human,DrugBAN,human,seed_6,drug,uncertainty_support,,,,,,,,
leave_one_dataset_out,human,DrugBAN,human,seed_6,target,prior,,,,,,,,
leave_one_dataset_out,human,DrugBAN,human,seed_7,drug,uncertainty_support,-0.0648705,0.0,0.0,0.0,-0.0663025,0.0,0.0,0.0
leave_one_dataset_out,human,DrugBAN,human,seed_7,target,prior,-0.0239655,-0.0625,-0.25,-0.0166665,-0.0278085,-0.0714285,-0.25,-0.0178575
leave_one_dataset_out,human,DrugBAN,human,seed_8,drug,uncertainty_support,0.200817,-0.04318175,-0.03571425,-0.01014125,0.18935025,-0.01875,-0.01785725,-0.005476
leave_one_dataset_out,human,DrugBAN,human,seed_8,target,prior,-0.0817205,-0.13513975,-0.1285715,-0.0335455,-0.0922895,-0.17670475,-0.14642875,-0.044122
leave_one_dataset_out,human,PACE,human,seed_4,drug,uncertainty_support,-0.192955,-0.14399525,-0.1151315,-0.03584425,-0.2530185,-0.1820515,-0.1282895,-0.0454075
leave_one_dataset_out,human,PACE,human,seed_4,target,prior,-0.02272125,-0.0166665,-0.0125,-0.00409825,-0.029909,-0.01923075,-0.0125,-0.0046295
leave_one_dataset_out,human,PACE,human,seed_5,drug,uncertainty_support,-0.11480925,0.001961,-0.0,0.000409,-0.17844875,-0.0333335,-0.025,-0.0081965
leave_one_dataset_out,human,PACE,human,seed_5,target,prior,0.01784775,-0.03137225,-0.025,-0.0076555,0.003647,-0.01666675,-0.0125,-0.00409825
leave_one_dataset_out,human,PACE,human,seed_6,drug,uncertainty_support,-0.037404,-0.066666,-0.058823,-0.016129,-0.06921,-0.153847,-0.117647,-0.037037
leave_one_dataset_out,human,PACE,human,seed_6,target,prior,-0.030528,0.0,0.0,0.0,-0.023668,0.0,0.0,0.0
leave_one_dataset_out,human,PACE,human,seed_7,drug,uncertainty_support,0.003045333333,-0.0625,-0.068452333333,-0.01441,-0.076130666667,-0.071428666667,-0.068452333333,-0.017344
leave_one_dataset_out,human,PACE,human,seed_7,target,prior,-0.062013,-0.08139875,-0.08258925,-0.02002525,-0.11675225,-0.0936355,-0.08258925,-0.023635
leave_one_dataset_out,human,PACE,human,seed_8,drug,uncertainty_support,0.0386135,0.12549,0.12549025,0.03148725,0.02859775,0.129304,0.1107845,0.03254625
leave_one_dataset_out,human,PACE,human,seed_8,target,prior,-0.037484,0.0,0.0,0.0,-0.0354245,0.0,0.0,0.0
leave_one_dataset_out,human,TAPB,human,seed_4,drug,uncertainty_support,-0.02775025,0.04040425,0.04166675,0.0102885,-0.068826,0.016369,0.013889,0.0046875
leave_one_dataset_out,human,TAPB,human,seed_4,target,prior,-0.0968635,-0.1055555,-0.13888875,-0.026334,-0.17132475,-0.169643,-0.18055525,-0.041551
leave_one_dataset_out,human,TAPB,human,seed_5,drug,uncertainty_support,0.05238625,0.0198345,0.01666625,0.00479925,0.0249965,0.00378775,0.005797,0.0012615
leave_one_dataset_out,human,TAPB,human,seed_5,target,prior,-0.18352425,-0.18453975,-0.15434825,-0.047031,-0.18886875,-0.224026,-0.154348,-0.05470275
leave_one_dataset_out,human,TAPB,human,seed_6,drug,uncertainty_support,0.40701475,0.25162325,0.217949,0.06229275,0.391461,0.327778,0.23717975,0.07999875
leave_one_dataset_out,human,TAPB,human,seed_6,target,prior,0.45773275,0.36958875,0.323077,0.0919655,0.44387025,0.46805575,0.34230775,0.11510975
leave_one_dataset_out,human,TAPB,human,seed_7,drug,uncertainty_support,0.05273475,0.02410975,0.01923075,0.00621275,-0.01676925,-0.04803925,-0.025,-0.01192825
leave_one_dataset_out,human,TAPB,human,seed_7,target,prior,-0.0009835,0.04976775,0.0371795,0.0127075,-0.03887925,0.03125,0.019231,0.00769225
leave_one_dataset_out,human,TAPB,human,seed_8,drug,uncertainty_support,0.149514,0.08707975,0.06249975,0.0216035,0.1096155,0.08258925,0.0520835,0.02006025
leave_one_dataset_out,human,TAPB,human,seed_8,target,prior,0.14395475,0.1592655,0.11458325,0.03952325,0.1084965,0.198661,0.125,0.048649
leave_one_model_out,DrugBAN,DrugBAN,bindingdb,seed_4,drug,uncertainty_support,0.0831405,0.08230175,0.03538975,0.02060925,,,,
leave_one_model_out,DrugBAN,DrugBAN,bindingdb,seed_4,target,prior,0.04609625,0.04015225,0.0175325,0.010065,,,,
leave_one_model_out,DrugBAN,DrugBAN,bindingdb,seed_5,drug,uncertainty_support,0.16771475,0.1659455,0.15178575,0.041269,,,,
leave_one_model_out,DrugBAN,DrugBAN,bindingdb,seed_5,target,prior,-0.077412,-0.11822475,-0.10267875,-0.0293195,,,,
leave_one_model_out,DrugBAN,DrugBAN,bindingdb,seed_6,drug,uncertainty_support,0.34798275,0.209625,0.28069025,0.0526265,,,,
leave_one_model_out,DrugBAN,DrugBAN,bindingdb,seed_6,target,prior,0.04322175,0.0287265,0.036445,0.00732325,,,,
leave_one_model_out,DrugBAN,DrugBAN,bindingdb,seed_7,drug,uncertainty_support,0.39764175,0.35842475,0.254729,0.0892865,,,,
leave_one_model_out,DrugBAN,DrugBAN,bindingdb,seed_7,target,prior,0.07351625,0.1017115,0.073035,0.02528275,,,,
leave_one_model_out,DrugBAN,DrugBAN,bindingdb,seed_8,drug,uncertainty_support,0.6291665,,,,,,,
leave_one_model_out,DrugBAN,DrugBAN,bindingdb,seed_8,target,prior,-0.0375005,,,,,,,
leave_one_model_out,DrugBAN,DrugBAN,biosnap,seed_4,drug,uncertainty_support,0.282186,0.149179,0.136102,0.03714,,,,
leave_one_model_out,DrugBAN,DrugBAN,biosnap,seed_4,target,prior,0.031063,-0.01190475,-0.013158,-0.00294125,,,,
leave_one_model_out,DrugBAN,DrugBAN,biosnap,seed_5,drug,uncertainty_support,0.34492075,0.2682745,0.21741625,0.06663275,,,,
leave_one_model_out,DrugBAN,DrugBAN,biosnap,seed_5,target,prior,0.0660595,-0.0018025,-0.00171475,-0.00048825,,,,
leave_one_model_out,DrugBAN,DrugBAN,biosnap,seed_6,drug,uncertainty_support,0.2135455,0.24724725,0.218074,0.061771,,,,
leave_one_model_out,DrugBAN,DrugBAN,biosnap,seed_6,target,prior,0.0680385,0.053329,0.047078,0.0132255,,,,
leave_one_model_out,DrugBAN,DrugBAN,biosnap,seed_7,drug,uncertainty_support,0.357404,0.367751,0.20980325,0.09136275,,,,
leave_one_model_out,DrugBAN,DrugBAN,biosnap,seed_7,target,prior,0.1306595,0.1453765,0.08291375,0.03610475,,,,
leave_one_model_out,DrugBAN,DrugBAN,biosnap,seed_8,drug,uncertainty_support,0.298503,0.25754575,0.26050425,0.06486975,,,,
leave_one_model_out,DrugBAN,DrugBAN,biosnap,seed_8,target,prior,0.02614075,0.04654375,0.04726925,0.01166225,,,,
leave_one_model_out,DrugBAN,DrugBAN,human,seed_4,drug,uncertainty_support,,,,,,,,
leave_one_model_out,DrugBAN,DrugBAN,human,seed_4,target,prior,,,,,,,,
leave_one_model_out,DrugBAN,DrugBAN,human,seed_5,drug,uncertainty_support,0.16667,0.05,0.035714,0.0128205,0.1476115,0.1180555,0.071429,0.0291385
leave_one_model_out,DrugBAN,DrugBAN,human,seed_5,target,prior,0.001059,-0.190909,-0.1428575,-0.0483685,0.012673,-0.1180555,-0.0714285,-0.0291385
leave_one_model_out,DrugBAN,DrugBAN,human,seed_6,drug,uncertainty_support,,,,,,,,
leave_one_model_out,DrugBAN,DrugBAN,human,seed_6,target,prior,,,,,,,,
leave_one_model_out,DrugBAN,DrugBAN,human,seed_7,drug,uncertainty_support,-0.0648705,0.0,0.0,0.0,-0.0663025,0.0,0.0,0.0
