model,dataset,test_run,group_axis,split,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_deduplicated_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
PACE,bindingdb,seed_4,drug,validation,0.025440243685,0.025040538838,,0.190137960253,0.00626855232
PACE,bindingdb,seed_4,target,test,,0.08461299856,,0.223762954313,0.006575021313
PACE,bindingdb,seed_4,target,validation,-0.005252743685,0.033073115078,,0.448454265018,0.017069372728
PACE,bindingdb,seed_5,drug,test,,0.01439510597,,-0.073172905526,-0.003949004975
PACE,bindingdb,seed_5,drug,validation,0.002917660408,-0.000548695513,,-0.048571988131,0.000220864695
PACE,bindingdb,seed_5,target,test,,0.023640720071,,0.113636363636,0.00625
PACE,bindingdb,seed_5,target,validation,-0.049082382732,-0.064265390448,,-0.60336679207,-0.018072671924
PACE,bindingdb,seed_6,drug,test,,0.146198477448,,1.05625,0.02786377709
PACE,bindingdb,seed_6,drug,validation,0.022126167369,0.020063398811,,0.191369606004,0.006134969325
PACE,bindingdb,seed_6,target,test,,0.13907368503,,0.65625,0.014705882353
PACE,bindingdb,seed_6,target,validation,0.068248814238,0.030217732174,,0.295464270432,0.00720648794
PACE,bindingdb,seed_7,drug,test,,0.12079078474,,1.041895604396,0.058390022676
PACE,bindingdb,seed_7,drug,validation,-0.130738972045,-0.153616432102,,-0.01739843972,0.014690982776
PACE,bindingdb,seed_7,target,test,,0.090537268416,,0.542811355311,0.029667422525
PACE,bindingdb,seed_7,target,validation,0.051367996254,0.07656249408,,0.733822570749,0.026798378926
PACE,bindingdb,seed_8,drug,test,,0.113921708922,,0.132142857143,0.006355932204
PACE,bindingdb,seed_8,drug,validation,0.075303642882,0.088951684348,,0.211868015077,0.008820573998
PACE,bindingdb,seed_8,target,test,,0.031894746756,,-0.009854334854,-0.000252972426
PACE,bindingdb,seed_8,target,validation,0.036935594694,0.050662674072,,0.357296872286,0.012301014246
PACE,biosnap,seed_4,drug,test,,0.064048246152,,0.393473941994,0.012612100658
PACE,biosnap,seed_4,drug,validation,0.003412044993,0.009532623271,,0.056583130251,0.00232616572
PACE,biosnap,seed_4,target,test,,0.068753793165,,0.504312116976,0.01651659504
PACE,biosnap,seed_4,target,validation,-0.019152466663,-0.010163103625,,-0.063983578714,-0.002520244769
PACE,biosnap,seed_5,drug,test,,0.195775107557,,0.012620192308,0.000301083902
PACE,biosnap,seed_5,drug,validation,0.080513855643,0.062093880634,,0.244725526838,0.004904094133
PACE,biosnap,seed_5,target,test,,0.209997070269,,0.125892857143,0.00221238938
PACE,biosnap,seed_5,target,validation,0.050440060146,0.03766802421,,0.21092011035,0.004482323232
PACE,biosnap,seed_6,drug,test,,0.22231655998,,0.631508905702,0.012762635756
PACE,biosnap,seed_6,drug,validation,0.014108671526,0.014754793543,,0.257590091577,0.005451590395
PACE,biosnap,seed_6,target,test,,0.245647191112,,0.843348141736,0.016626461988
PACE,biosnap,seed_6,target,validation,0.021367171183,0.01991076131,,0.018894875186,-0.000346216928
PACE,biosnap,seed_7,drug,test,,0.038445011118,,0.284965034965,0.005769230769
PACE,biosnap,seed_7,drug,validation,0.042278626858,0.045829541474,,0.146515856292,0.002485507809
PACE,biosnap,seed_7,target,test,,0.011854645344,,0.284965034965,0.005769230769
PACE,biosnap,seed_7,target,validation,0.071186756126,0.044904007582,,0.390146105301,0.006651687887
PACE,biosnap,seed_8,drug,test,,0.107445267524,,0.158653846154,0.003689236111
PACE,biosnap,seed_8,drug,validation,0.006425072949,0.002095466037,,0.061423720468,0.001442058752
PACE,biosnap,seed_8,target,test,,0.135703133872,,0.009848484848,0.000265634487
PACE,biosnap,seed_8,target,validation,-0.000976279376,-0.001970602045,,0.016702437084,0.000926410241
PACE,human,seed_4,drug,test,,0.000754929416,0.010872521803,-0.200358220211,-0.010830338096
PACE,human,seed_4,drug,validation,0.238624338624,0.113501313501,,1.371527777778,0.031667720852
PACE,human,seed_4,target,test,,-0.105017420839,-0.102783761481,-0.45986133964,-0.0226050323
PACE,human,seed_4,target,validation,-0.169312169312,-0.037267811165,,-0.963078703704,-0.030893647782
PACE,human,seed_5,drug,test,,0.011373069223,0.009728806155,-0.658088235294,-0.026589527816
PACE,human,seed_5,drug,validation,-0.039578500204,-0.053694585439,,-0.194320436508,-0.006356130969
PACE,human,seed_5,target,test,,0.031826976949,0.030173300358,-0.421568627451,-0.018115942029
