model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
DrugBAN,bindingdb,seed_7,target,base,0.8,0.1,0.2,test,fitted,241,61.0,24,10.0,217,51.0,True
DrugBAN,bindingdb,seed_7,target,base,0.8,0.2,0.2,validation,cross_fitted,874,219.0,175,65.0,699,154.0,True
DrugBAN,bindingdb,seed_7,target,base,0.8,0.2,0.2,test,fitted,241,61.0,48,18.0,193,43.0,True
DrugBAN,bindingdb,seed_7,target,base,0.9,0.1,0.2,validation,cross_fitted,648,130.0,65,22.0,583,108.0,True
DrugBAN,bindingdb,seed_7,target,base,0.9,0.1,0.2,test,fitted,175,39.0,18,5.0,157,34.0,True
DrugBAN,bindingdb,seed_7,target,base,0.9,0.2,0.2,validation,cross_fitted,648,130.0,130,28.0,518,102.0,True
DrugBAN,bindingdb,seed_7,target,base,0.9,0.2,0.2,test,fitted,175,39.0,35,11.0,140,28.0,True
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.1,0.2,validation,cross_fitted,874,219.0,87,33.0,787,186.0,True
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.1,0.2,test,fitted,241,61.0,24,10.0,217,51.0,True
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.2,0.2,validation,cross_fitted,874,219.0,175,70.0,699,149.0,True
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.2,0.2,test,fitted,241,61.0,48,18.0,193,43.0,True
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.1,0.2,validation,cross_fitted,648,130.0,65,25.0,583,105.0,True
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.1,0.2,test,fitted,175,39.0,18,5.0,157,34.0,True
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.2,0.2,validation,cross_fitted,648,130.0,130,54.0,518,76.0,True
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.2,0.2,test,fitted,175,39.0,35,11.0,140,28.0,True
DrugBAN,bindingdb,seed_8,target,base,0.8,0.1,0.2,validation,cross_fitted,61,17.0,6,2.0,55,15.0,True
DrugBAN,bindingdb,seed_8,target,base,0.8,0.1,0.2,test,fitted,17,4.0,2,2.0,15,2.0,True
DrugBAN,bindingdb,seed_8,target,base,0.8,0.2,0.2,validation,cross_fitted,61,17.0,12,3.0,49,14.0,True
DrugBAN,bindingdb,seed_8,target,base,0.8,0.2,0.2,test,fitted,17,4.0,3,2.0,14,2.0,True
DrugBAN,bindingdb,seed_8,target,base,0.9,0.1,0.2,validation,cross_fitted,13,6.0,1,0.0,12,6.0,True
