model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,support_reference,support_state,residual_n,residual_share,error_count,error_rate,error_rate_delta_vs_all
TAPB,bindingdb,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,114,0.59067357513,34.0,0.298245614035,-0.074811380784
TAPB,bindingdb,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,target_unseen,11,0.056994818653,6.0,0.545454545455,0.172397550636
TAPB,bindingdb,seed_5,drug,base,0.8,0.1,0.2,test,source_train,all,193,1.0,72.0,0.373056994819,0.0
TAPB,bindingdb,seed_5,drug,base,0.8,0.1,0.2,test,source_train,both_unseen,193,1.0,72.0,0.373056994819,0.0
TAPB,bindingdb,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,all,172,1.0,59.0,0.343023255814,0.0
TAPB,bindingdb,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,both_seen,50,0.290697674419,21.0,0.42,0.076976744186
TAPB,bindingdb,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,both_unseen,7,0.040697674419,2.0,0.285714285714,-0.0573089701
TAPB,bindingdb,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,102,0.593023255814,29.0,0.28431372549,-0.058709530324
TAPB,bindingdb,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,target_unseen,13,0.075581395349,7.0,0.538461538462,0.195438282648
TAPB,bindingdb,seed_5,drug,base,0.8,0.2,0.2,test,source_train,all,172,1.0,59.0,0.343023255814,0.0
TAPB,bindingdb,seed_5,drug,base,0.8,0.2,0.2,test,source_train,both_unseen,172,1.0,59.0,0.343023255814,0.0
TAPB,bindingdb,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,all,125,1.0,40.0,0.32,0.0
TAPB,bindingdb,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,both_seen,36,0.288,14.0,0.388888888889,0.068888888889
TAPB,bindingdb,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,both_unseen,4,0.032,2.0,0.5,0.18
TAPB,bindingdb,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,77,0.616,18.0,0.233766233766,-0.086233766234
TAPB,bindingdb,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,target_unseen,8,0.064,6.0,0.75,0.43
TAPB,bindingdb,seed_5,drug,base,0.9,0.1,0.2,test,source_train,all,125,1.0,40.0,0.32,0.0
TAPB,bindingdb,seed_5,drug,base,0.9,0.1,0.2,test,source_train,both_unseen,125,1.0,40.0,0.32,0.0
TAPB,bindingdb,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,all,111,1.0,36.0,0.324324324324,0.0
TAPB,bindingdb,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,both_seen,32,0.288288288288,12.0,0.375,0.050675675676
TAPB,bindingdb,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,both_unseen,3,0.027027027027,1.0,0.333333333333,0.009009009009
TAPB,bindingdb,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,68,0.612612612613,17.0,0.25,-0.074324324324
TAPB,bindingdb,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,target_unseen,8,0.072072072072,6.0,0.75,0.425675675676
TAPB,bindingdb,seed_5,drug,base,0.9,0.2,0.2,test,source_train,all,111,1.0,36.0,0.324324324324,0.0
TAPB,bindingdb,seed_5,drug,base,0.9,0.2,0.2,test,source_train,both_unseen,111,1.0,36.0,0.324324324324,0.0
TAPB,bindingdb,seed_7,target,base,0.8,0.1,0.2,test,audit_fit,all,165,1.0,42.0,0.254545454545,0.0
TAPB,bindingdb,seed_7,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,46,0.278787878788,20.0,0.434782608696,0.18023715415
TAPB,bindingdb,seed_7,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,2,0.012121212121,2.0,1.0,0.745454545455
TAPB,bindingdb,seed_7,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,110,0.666666666667,16.0,0.145454545455,-0.109090909091
TAPB,bindingdb,seed_7,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,7,0.042424242424,4.0,0.571428571429,0.316883116883
TAPB,bindingdb,seed_7,target,base,0.8,0.1,0.2,test,source_train,all,165,1.0,42.0,0.254545454545,0.0
TAPB,bindingdb,seed_7,target,base,0.8,0.1,0.2,test,source_train,both_unseen,165,1.0,42.0,0.254545454545,0.0
TAPB,bindingdb,seed_7,target,base,0.8,0.2,0.2,test,audit_fit,all,146,1.0,35.0,0.239726027397,0.0
TAPB,bindingdb,seed_7,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,40,0.27397260274,18.0,0.45,0.210273972603
TAPB,bindingdb,seed_7,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,3,0.020547945205,2.0,0.666666666667,0.426940639269
TAPB,bindingdb,seed_7,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,97,0.664383561644,12.0,0.123711340206,-0.116014687191
TAPB,bindingdb,seed_7,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,6,0.041095890411,3.0,0.5,0.260273972603
TAPB,bindingdb,seed_7,target,base,0.8,0.2,0.2,test,source_train,all,146,1.0,35.0,0.239726027397,0.0
TAPB,bindingdb,seed_7,target,base,0.8,0.2,0.2,test,source_train,both_unseen,146,1.0,35.0,0.239726027397,0.0
TAPB,bindingdb,seed_7,target,base,0.9,0.1,0.2,test,audit_fit,all,102,1.0,19.0,0.186274509804,0.0
TAPB,bindingdb,seed_7,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,23,0.225490196078,11.0,0.478260869565,0.291986359761
TAPB,bindingdb,seed_7,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,4,0.039215686275,1.0,0.25,0.063725490196
TAPB,bindingdb,seed_7,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,72,0.705882352941,5.0,0.069444444444,-0.116830065359
TAPB,bindingdb,seed_7,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,3,0.029411764706,2.0,0.666666666667,0.480392156863
TAPB,bindingdb,seed_7,target,base,0.9,0.1,0.2,test,source_train,all,102,1.0,19.0,0.186274509804,0.0
