model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
DrugBAN,biosnap,seed_6,drug,base,0.8,0.2,0.2,test,fitted,210,42.0,42,10.0,168,32.0,True
DrugBAN,biosnap,seed_6,drug,base,0.9,0.1,0.2,validation,cross_fitted,728,155.0,73,26.0,655,129.0,True
DrugBAN,biosnap,seed_6,drug,base,0.9,0.1,0.2,test,fitted,175,33.0,18,5.0,157,28.0,True
DrugBAN,biosnap,seed_6,drug,base,0.9,0.2,0.2,validation,cross_fitted,728,155.0,146,48.0,582,107.0,True
DrugBAN,biosnap,seed_6,drug,base,0.9,0.2,0.2,test,fitted,175,33.0,35,11.0,140,22.0,True
DrugBAN,biosnap,seed_7,target,base,0.8,0.1,0.2,validation,cross_fitted,765,232.0,76,30.0,689,202.0,True
DrugBAN,biosnap,seed_7,target,base,0.8,0.1,0.2,test,fitted,183,59.0,18,8.0,165,51.0,True
DrugBAN,biosnap,seed_7,target,base,0.8,0.2,0.2,validation,cross_fitted,765,232.0,153,59.0,612,173.0,True
DrugBAN,biosnap,seed_7,target,base,0.8,0.2,0.2,test,fitted,183,59.0,37,17.0,146,42.0,True
DrugBAN,biosnap,seed_7,target,base,0.9,0.1,0.2,validation,cross_fitted,587,149.0,59,17.0,528,132.0,True
DrugBAN,biosnap,seed_7,target,base,0.9,0.1,0.2,test,fitted,136,37.0,14,4.0,122,33.0,True
DrugBAN,biosnap,seed_7,target,base,0.9,0.2,0.2,validation,cross_fitted,587,149.0,117,35.0,470,114.0,True
DrugBAN,biosnap,seed_7,target,base,0.9,0.2,0.2,test,fitted,136,37.0,27,8.0,109,29.0,True
DrugBAN,biosnap,seed_7,drug,base,0.8,0.1,0.2,validation,cross_fitted,765,232.0,76,30.0,689,202.0,True
DrugBAN,biosnap,seed_7,drug,base,0.8,0.1,0.2,test,fitted,183,59.0,18,8.0,165,51.0,True
DrugBAN,biosnap,seed_7,drug,base,0.8,0.2,0.2,validation,cross_fitted,765,232.0,153,64.0,612,168.0,True
DrugBAN,biosnap,seed_7,drug,base,0.8,0.2,0.2,test,fitted,183,59.0,37,17.0,146,42.0,True
DrugBAN,biosnap,seed_7,drug,base,0.9,0.1,0.2,validation,cross_fitted,587,149.0,59,23.0,528,126.0,True
