model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,validation,residual,calibrated,747,106.0,0.141900937082,0.152877212326,0.119035480104,0.010976275244
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,candidate,raw,243,34.0,0.139917695473,0.011142799209,0.135412059633,0.128774896264
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,candidate,calibrated,243,34.0,0.139917695473,0.171397130817,0.116745124153,0.04195173223
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,deferred,raw,49,13.0,0.265306122449,0.032108394593,0.249681151259,0.233197727856
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,deferred,calibrated,49,13.0,0.265306122449,0.233121207579,0.196503985336,0.03218491487
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,residual,raw,194,21.0,0.10824742268,0.005847365323,0.106550278759,0.102400057357
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,residual,calibrated,194,21.0,0.10824742268,0.155807028955,0.096599844781,0.047559606274
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,candidate,raw,1039,190.0,0.182868142445,0.0167877584,0.173900860715,0.166080384045
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,candidate,calibrated,1039,190.0,0.182868142445,0.178911436512,0.142840548319,0.024059411442
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,deferred,raw,104,36.0,0.346153846154,0.072615692141,0.299829840324,0.273538154013
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,deferred,calibrated,104,36.0,0.346153846154,0.273721553758,0.231228445674,0.072432292396
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,residual,raw,935,154.0,0.164705882353,0.010578020315,0.159893787047,0.154127862038
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,residual,calibrated,935,154.0,0.164705882353,0.168365712241,0.133009167222,0.01867889848
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,candidate,raw,278,45.0,0.161870503597,0.018710991817,0.153615213795,0.14315951178
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,candidate,calibrated,278,45.0,0.161870503597,0.184136817377,0.129892883176,0.041919922625
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,deferred,raw,28,7.0,0.25,0.075806729319,0.221794081855,0.174193270681
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,deferred,calibrated,28,7.0,0.25,0.276165216479,0.190917243119,0.026165216479
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,residual,raw,250,38.0,0.152,0.012316269217,0.145979180573,0.139683730783
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,residual,calibrated,250,38.0,0.152,0.173829636677,0.123058154862,0.049545458205
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,validation,candidate,raw,1039,190.0,0.182868142445,0.0167877584,0.173900860715,0.166080384045
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,validation,candidate,calibrated,1039,190.0,0.182868142445,0.178911436512,0.142840548319,0.024059411442
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,validation,deferred,raw,208,64.0,0.307692307692,0.056363035263,0.274214413731,0.251329272429
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,validation,deferred,calibrated,208,64.0,0.307692307692,0.25892106316,0.214239627987,0.048771244532
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,validation,residual,raw,831,126.0,0.151624548736,0.006882033264,0.148792293895,0.144742515472
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,validation,residual,calibrated,831,126.0,0.151624548736,0.158884959565,0.124969298534,0.017874018803
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,candidate,raw,278,45.0,0.161870503597,0.018710991817,0.153615213795,0.14315951178
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,candidate,calibrated,278,45.0,0.161870503597,0.184136817377,0.129892883176,0.041919922625
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,deferred,raw,56,17.0,0.303571428571,0.059589903378,0.274395854351,0.243981525193
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,deferred,calibrated,56,17.0,0.303571428571,0.262007153018,0.215667431903,0.041564275553
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,residual,raw,222,28.0,0.126126126126,0.008399194306,0.123148025187,0.11772693182
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,residual,calibrated,222,28.0,0.126126126126,0.164493849828,0.108256060073,0.0420096354
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,validation,candidate,raw,934,154.0,0.164882226981,0.010492429071,0.160084109835,0.15438979791
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,validation,candidate,calibrated,934,154.0,0.164882226981,0.168324893915,0.133093413341,0.018919978701
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,validation,deferred,raw,93,27.0,0.290322580645,0.04047813196,0.268038881727,0.249844448685
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,validation,deferred,calibrated,93,27.0,0.290322580645,0.245706106895,0.208400381908,0.04461647375
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,validation,residual,raw,841,127.0,0.151010701546,0.007176530892,0.148146186189,0.143834170654
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,validation,residual,calibrated,841,127.0,0.151010701546,0.15976787512,0.124765769968,0.016078392447
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,candidate,raw,243,34.0,0.139917695473,0.011142799209,0.135412059633,0.128774896264
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,candidate,calibrated,243,34.0,0.139917695473,0.171397130817,0.116745124153,0.04195173223
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,deferred,raw,24,6.0,0.25,0.039004048892,0.232048076406,0.210995951108
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,deferred,calibrated,24,6.0,0.25,0.242917322324,0.187445483581,0.007082677676
