scope,profile,n_runs,error_detection_auroc_mean,error_detection_auroc_sd,error_detection_auprc_mean,error_detection_auprc_sd,review_error_rate_mean,review_error_rate_sd,review_lift_mean,review_lift_sd,review_recall_of_residual_errors_mean,review_recall_of_residual_errors_sd,combined_recall_of_candidate_errors_mean,combined_recall_of_candidate_errors_sd,retained_accuracy_after_review_mean,retained_accuracy_after_review_sd,retained_accuracy_gain_vs_residual_mean,retained_accuracy_gain_vs_residual_sd,model,dataset,group_axis
overall,validation_selected_v2,4,0.783715,0.008554,0.359749,0.017729,0.287803,0.046975,2.11729,0.391199,0.422989,0.078777,0.572222,0.165676,0.899268,0.028179,0.037389,0.009933,,,
by_model,validation_selected_v2,4,0.783715,0.008554,0.359749,0.017729,0.287803,0.046975,2.11729,0.391199,0.422989,0.078777,0.572222,0.165676,0.899268,0.028179,0.037389,0.009933,PACE,,
by_dataset,validation_selected_v2,4,0.783715,0.008554,0.359749,0.017729,0.287803,0.046975,2.11729,0.391199,0.422989,0.078777,0.572222,0.165676,0.899268,0.028179,0.037389,0.009933,,biosnap,
by_group_axis,validation_selected_v2,4,0.783715,0.008554,0.359749,0.017729,0.287803,0.046975,2.11729,0.391199,0.422989,0.078777,0.572222,0.165676,0.899268,0.028179,0.037389,0.009933,,,drug
by_model_dataset,validation_selected_v2,4,0.783715,0.008554,0.359749,0.017729,0.287803,0.046975,2.11729,0.391199,0.422989,0.078777,0.572222,0.165676,0.899268,0.028179,0.037389,0.009933,PACE,biosnap,
