scope,profile,n_runs,error_detection_auroc_mean,error_detection_auroc_sd,error_detection_auprc_mean,error_detection_auprc_sd,review_error_rate_mean,review_error_rate_sd,review_lift_mean,review_lift_sd,review_recall_of_residual_errors_mean,review_recall_of_residual_errors_sd,combined_recall_of_candidate_errors_mean,combined_recall_of_candidate_errors_sd,retained_accuracy_after_review_mean,retained_accuracy_after_review_sd,retained_accuracy_gain_vs_residual_mean,retained_accuracy_gain_vs_residual_sd,model,dataset,group_axis
overall,validation_selected_v2,4,0.780756,0.008094,0.343738,0.018812,0.267692,0.052443,2.075944,0.189172,0.415414,0.039845,0.577451,0.056592,0.906257,0.012288,0.034814,0.009367,,,
by_model,validation_selected_v2,4,0.780756,0.008094,0.343738,0.018812,0.267692,0.052443,2.075944,0.189172,0.415414,0.039845,0.577451,0.056592,0.906257,0.012288,0.034814,0.009367,PACE,,
by_dataset,validation_selected_v2,4,0.780756,0.008094,0.343738,0.018812,0.267692,0.052443,2.075944,0.189172,0.415414,0.039845,0.577451,0.056592,0.906257,0.012288,0.034814,0.009367,,biosnap,
by_group_axis,validation_selected_v2,4,0.780756,0.008094,0.343738,0.018812,0.267692,0.052443,2.075944,0.189172,0.415414,0.039845,0.577451,0.056592,0.906257,0.012288,0.034814,0.009367,,,drug
by_model_dataset,validation_selected_v2,4,0.780756,0.008094,0.343738,0.018812,0.267692,0.052443,2.075944,0.189172,0.415414,0.039845,0.577451,0.056592,0.906257,0.012288,0.034814,0.009367,PACE,biosnap,
