model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,cross_fitted,1039,190.0,104,36.0,935,154.0,True
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,fitted,278,45.0,28,7.0,250,38.0,True
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,validation,cross_fitted,1039,190.0,208,65.0,831,125.0,True
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,fitted,278,45.0,56,17.0,222,28.0,True
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,validation,cross_fitted,934,154.0,93,27.0,841,127.0,True
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,fitted,243,34.0,24,6.0,219,28.0,True
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,validation,cross_fitted,934,154.0,187,48.0,747,106.0,True
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,fitted,243,34.0,49,13.0,194,21.0,True
