scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
model,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,1.0,0.041373,0.023368,0.018005,0.018005,0.01125,0.029202,,,PACE
overall,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,4,4,4,0,1.0,0.345333,0.253416,0.091917,0.091917,0.075445,0.110584,,,
overall,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,4,4,4,0,1.0,0.781032,0.677448,0.103583,0.103583,0.08683,0.121736,,,
overall,U2+E2 - U2,U2+E2 - U2,ok,review_lift,4,4,4,0,0.75,2.135162,1.820953,0.314209,0.314209,0.009868,0.889767,,,
overall,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,4,4,4,0,0.75,0.427318,0.364192,0.063127,0.063127,0.001974,0.178869,,,
overall,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.036427,0.027297,0.00913,0.00913,0.000375,0.0243,,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,4,4,4,0,1.0,0.345333,0.253416,0.091917,0.091917,0.075445,0.110584,drug,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,4,4,4,0,1.0,0.781032,0.677448,0.103583,0.103583,0.08683,0.121736,drug,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,review_lift,4,4,4,0,0.75,2.135162,1.820953,0.314209,0.314209,0.009868,0.889767,drug,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,4,4,4,0,0.75,0.427318,0.364192,0.063127,0.063127,0.001974,0.178869,drug,,
grouping,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.036427,0.027297,0.00913,0.00913,0.000375,0.0243,drug,,
dataset,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,4,4,4,0,1.0,0.345333,0.253416,0.091917,0.091917,0.075445,0.110584,,biosnap,
dataset,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,4,4,4,0,1.0,0.781032,0.677448,0.103583,0.103583,0.08683,0.121736,,biosnap,
dataset,U2+E2 - U2,U2+E2 - U2,ok,review_lift,4,4,4,0,0.75,2.135162,1.820953,0.314209,0.314209,0.009868,0.889767,,biosnap,
dataset,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,4,4,4,0,0.75,0.427318,0.364192,0.063127,0.063127,0.001974,0.178869,,biosnap,
dataset,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.036427,0.027297,0.00913,0.00913,0.000375,0.0243,,biosnap,
model,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,4,4,4,0,1.0,0.345333,0.253416,0.091917,0.091917,0.075445,0.110584,,,PACE
model,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,4,4,4,0,1.0,0.781032,0.677448,0.103583,0.103583,0.08683,0.121736,,,PACE
model,U2+E2 - U2,U2+E2 - U2,ok,review_lift,4,4,4,0,0.75,2.135162,1.820953,0.314209,0.314209,0.009868,0.889767,,,PACE
model,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,4,4,4,0,0.75,0.427318,0.364192,0.063127,0.063127,0.001974,0.178869,,,PACE
model,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.036427,0.027297,0.00913,0.00913,0.000375,0.0243,,,PACE
overall,U2+E2 - U,U2+E2 - U,ok,error_detection_auprc,4,4,4,0,1.0,0.345333,0.257242,0.088091,0.088091,0.032629,0.136616,,,
overall,U2+E2 - U,U2+E2 - U,ok,error_detection_auroc,4,4,4,0,1.0,0.781032,0.681809,0.099223,0.099223,0.083912,0.119388,,,
overall,U2+E2 - U,U2+E2 - U,ok,review_lift,4,4,4,0,0.75,2.135162,1.710724,0.424438,0.424438,0.026664,0.90604,,,
overall,U2+E2 - U,U2+E2 - U,ok,review_recall_of_residual_errors,4,4,4,0,0.75,0.427318,0.342105,0.085213,0.085213,0.005357,0.182112,,,
overall,U2+E2 - U,U2+E2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.036427,0.023368,0.013059,0.013059,0.000857,0.024996,,,
grouping,U2+E2 - U,U2+E2 - U,ok,error_detection_auprc,4,4,4,0,1.0,0.345333,0.257242,0.088091,0.088091,0.032629,0.136616,drug,,
grouping,U2+E2 - U,U2+E2 - U,ok,error_detection_auroc,4,4,4,0,1.0,0.781032,0.681809,0.099223,0.099223,0.083912,0.119388,drug,,
grouping,U2+E2 - U,U2+E2 - U,ok,review_lift,4,4,4,0,0.75,2.135162,1.710724,0.424438,0.424438,0.026664,0.90604,drug,,
grouping,U2+E2 - U,U2+E2 - U,ok,review_recall_of_residual_errors,4,4,4,0,0.75,0.427318,0.342105,0.085213,0.085213,0.005357,0.182112,drug,,
grouping,U2+E2 - U,U2+E2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.036427,0.023368,0.013059,0.013059,0.000857,0.024996,drug,,
dataset,U2+E2 - U,U2+E2 - U,ok,error_detection_auprc,4,4,4,0,1.0,0.345333,0.257242,0.088091,0.088091,0.032629,0.136616,,biosnap,
dataset,U2+E2 - U,U2+E2 - U,ok,error_detection_auroc,4,4,4,0,1.0,0.781032,0.681809,0.099223,0.099223,0.083912,0.119388,,biosnap,
dataset,U2+E2 - U,U2+E2 - U,ok,review_lift,4,4,4,0,0.75,2.135162,1.710724,0.424438,0.424438,0.026664,0.90604,,biosnap,
dataset,U2+E2 - U,U2+E2 - U,ok,review_recall_of_residual_errors,4,4,4,0,0.75,0.427318,0.342105,0.085213,0.085213,0.005357,0.182112,,biosnap,
dataset,U2+E2 - U,U2+E2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.036427,0.023368,0.013059,0.013059,0.000857,0.024996,,biosnap,
model,U2+E2 - U,U2+E2 - U,ok,error_detection_auprc,4,4,4,0,1.0,0.345333,0.257242,0.088091,0.088091,0.032629,0.136616,,,PACE
model,U2+E2 - U,U2+E2 - U,ok,error_detection_auroc,4,4,4,0,1.0,0.781032,0.681809,0.099223,0.099223,0.083912,0.119388,,,PACE
model,U2+E2 - U,U2+E2 - U,ok,review_lift,4,4,4,0,0.75,2.135162,1.710724,0.424438,0.424438,0.026664,0.90604,,,PACE
model,U2+E2 - U,U2+E2 - U,ok,review_recall_of_residual_errors,4,4,4,0,0.75,0.427318,0.342105,0.085213,0.085213,0.005357,0.182112,,,PACE
model,U2+E2 - U,U2+E2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.036427,0.023368,0.013059,0.013059,0.000857,0.024996,,,PACE
overall,U+E2 - formal U+E,U+E2 - formal U+E,ok,error_detection_auprc,4,4,4,0,0.0,0.340083,0.542699,-0.202616,-0.202616,-0.253239,-0.177206,,,
overall,U+E2 - formal U+E,U+E2 - formal U+E,ok,error_detection_auroc,4,4,4,0,0.0,0.785897,0.895195,-0.109298,-0.109298,-0.121841,-0.096014,,,
overall,U+E2 - formal U+E,U+E2 - formal U+E,ok,review_lift,4,4,4,0,0.0,2.264725,3.566209,-1.301484,-1.301484,-1.440097,-0.958568,,,
overall,U+E2 - formal U+E,U+E2 - formal U+E,ok,review_recall_of_residual_errors,4,4,4,0,0.0,0.453008,0.713346,-0.260338,-0.260338,-0.285715,-0.191823,,,
overall,U+E2 - formal U+E,U+E2 - formal U+E,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.0,0.041373,0.082465,-0.041092,-0.041092,-0.045657,-0.035278,,,
grouping,U+E2 - formal U+E,U+E2 - formal U+E,ok,error_detection_auprc,4,4,4,0,0.0,0.340083,0.542699,-0.202616,-0.202616,-0.253239,-0.177206,drug,,
grouping,U+E2 - formal U+E,U+E2 - formal U+E,ok,error_detection_auroc,4,4,4,0,0.0,0.785897,0.895195,-0.109298,-0.109298,-0.121841,-0.096014,drug,,
grouping,U+E2 - formal U+E,U+E2 - formal U+E,ok,review_lift,4,4,4,0,0.0,2.264725,3.566209,-1.301484,-1.301484,-1.440097,-0.958568,drug,,
grouping,U+E2 - formal U+E,U+E2 - formal U+E,ok,review_recall_of_residual_errors,4,4,4,0,0.0,0.453008,0.713346,-0.260338,-0.260338,-0.285715,-0.191823,drug,,
grouping,U+E2 - formal U+E,U+E2 - formal U+E,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.0,0.041373,0.082465,-0.041092,-0.041092,-0.045657,-0.035278,drug,,
