model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes,residual_error_warning,residual_error_warning_reason
PACE,biosnap,seed_7,target,base,0.8,0.1,0.2,validation,cross_fitted,709,70.0,71,12.0,638,58.0,True,False,
PACE,biosnap,seed_7,target,base,0.8,0.1,0.2,test,fitted,181,15.0,18,2.0,163,13.0,True,False,
PACE,biosnap,seed_7,target,base,0.8,0.2,0.2,validation,cross_fitted,709,70.0,142,25.0,567,45.0,True,False,
PACE,biosnap,seed_7,target,base,0.8,0.2,0.2,test,fitted,181,15.0,36,7.0,145,8.0,True,True,residual_error_count_lt_10
PACE,biosnap,seed_7,target,base,0.9,0.1,0.2,validation,cross_fitted,557,43.0,56,8.0,501,35.0,True,False,
PACE,biosnap,seed_7,target,base,0.9,0.1,0.2,test,fitted,144,8.0,14,0.0,130,8.0,True,True,residual_error_count_lt_10
PACE,biosnap,seed_7,target,base,0.9,0.2,0.2,validation,cross_fitted,557,43.0,111,15.0,446,28.0,True,False,
PACE,biosnap,seed_7,target,base,0.9,0.2,0.2,test,fitted,144,8.0,29,4.0,115,4.0,True,True,residual_error_count_lt_10
PACE,biosnap,seed_7,drug,base,0.8,0.1,0.2,validation,cross_fitted,709,70.0,71,12.0,638,58.0,True,False,
PACE,biosnap,seed_7,drug,base,0.8,0.1,0.2,test,fitted,181,15.0,18,2.0,163,13.0,True,False,
PACE,biosnap,seed_7,drug,base,0.8,0.2,0.2,validation,cross_fitted,709,70.0,142,25.0,567,45.0,True,False,
PACE,biosnap,seed_7,drug,base,0.8,0.2,0.2,test,fitted,181,15.0,36,7.0,145,8.0,True,True,residual_error_count_lt_10
PACE,biosnap,seed_7,drug,base,0.9,0.1,0.2,validation,cross_fitted,557,43.0,56,8.0,501,35.0,True,False,
PACE,biosnap,seed_7,drug,base,0.9,0.1,0.2,test,fitted,144,8.0,14,0.0,130,8.0,True,True,residual_error_count_lt_10
PACE,biosnap,seed_7,drug,base,0.9,0.2,0.2,validation,cross_fitted,557,43.0,111,14.0,446,29.0,True,False,
PACE,biosnap,seed_7,drug,base,0.9,0.2,0.2,test,fitted,144,8.0,29,4.0,115,4.0,True,True,residual_error_count_lt_10
PACE,biosnap,seed_8,target,base,0.8,0.1,0.2,validation,cross_fitted,820,102.0,82,22.0,738,80.0,True,False,
