scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
dataset,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auprc,108,108,120,12,0.018519,0.396686,0.398501,-0.001815,-0.001815,0.0,0.0,,human,
dataset,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auroc,108,108,120,12,0.0,0.727458,0.732906,-0.005448,-0.005448,-0.029511,0.0,,human,
dataset,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_lift,98,98,120,22,0.010204,2.274156,2.31185,-0.037694,-0.037694,-0.193921,0.0,,human,
dataset,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_recall_of_residual_errors,98,98,120,22,0.0,0.454495,0.462225,-0.00773,-0.00773,-0.038333,0.0,,human,
dataset,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,98,98,120,22,0.0,0.047167,0.048057,-0.000891,-0.000891,-0.008333,0.0,,human,
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auprc,104,104,120,16,0.182692,0.46598,0.447226,0.018754,0.018754,-0.093247,0.219274,,,DrugBAN
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auroc,104,104,120,16,0.240385,0.772432,0.755876,0.016556,0.016556,-0.001186,0.138654,,,DrugBAN
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_lift,90,90,120,30,0.244444,2.356444,2.214002,0.142442,0.142442,-0.278625,1.51731,,,DrugBAN
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_recall_of_residual_errors,90,90,120,30,0.222222,0.470934,0.442457,0.028477,0.028477,-0.056302,0.30425,,,DrugBAN
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,90,90,120,30,0.255556,0.062114,0.054659,0.007455,0.007455,-0.009954,0.062345,,,DrugBAN
