model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selector_name,selected_v2_profile,validation_metric,validation_gain_vs_U,validation_gain_U_E_E2_vs_U_E,selection_reason,fallback_reason,validation_gain_U_P_E_E2_vs_best_formal,formal_selected_validation_metric,u_p_e_validation_metric,u_p_e_e2_validation_metric
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.414857,0.293218,0.082896,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.394271,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.06231,0.331961,0.301572,0.394271
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.337243,0.230527,0.086917,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.3586,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.088661,0.250326,0.269939,0.3586
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.258805,0.040017,0.008914,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.246313,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.019493,0.246313,0.26441,0.244917
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E,0.208904,0.03445,-0.019375,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.187825,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.003056,0.187825,0.169139,0.184769
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E2,0.211233,0.024757,0.023498,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.175113,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.053969,0.175113,0.229968,0.175999
PACE,biosnap,seed_6,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.191235,0.049078,0.04313,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_6,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.183264,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.046975,0.111692,0.136289,0.183264
PACE,biosnap,seed_6,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.346624,0.115057,0.022554,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_6,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.333541,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.009471,0.32407,0.313482,0.333541
PACE,biosnap,seed_6,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.372513,0.190973,0.063597,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_6,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.345929,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.037013,0.308916,0.230294,0.345929
PACE,biosnap,seed_6,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E,0.3426,0.18538,-0.048797,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_6,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.3426,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.045697,0.3426,0.300528,0.296903
PACE,biosnap,seed_6,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.374541,0.238429,0.043144,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_6,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.331397,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,0.003174,0.331397,0.314055,0.334571
PACE,biosnap,seed_7,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.228383,0.044503,0.081148,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_7,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.196687,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.038993,0.157694,0.13027,0.196687
PACE,biosnap,seed_7,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.214874,0.080324,0.134321,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_7,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.169579,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.041327,0.128252,0.062697,0.169579
PACE,biosnap,seed_7,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.142719,0.02779,0.067508,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_7,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.128323,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.035734,0.092589,0.06584,0.128323
PACE,biosnap,seed_7,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E2,0.126279,0.017766,0.065342,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_7,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.103823,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.02372,0.080103,0.059287,0.103823
PACE,biosnap,seed_7,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.349516,0.187728,0.088518,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_7,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.388264,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.127266,0.260998,0.253487,0.388264
PACE,biosnap,seed_7,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.247417,0.1085,0.015726,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_7,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.279382,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.041788,0.231691,0.237594,0.279382
PACE,biosnap,seed_7,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E,0.193739,0.06449,-0.003019,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_7,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.225387,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.027237,0.193739,0.19815,0.225387
PACE,biosnap,seed_7,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.316261,0.187336,0.099923,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_7,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.28175,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.057443,0.216338,0.224307,0.28175
PACE,biosnap,seed_8,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E,0.24245,0.043818,-0.020693,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_8,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.249956,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.036511,0.249956,0.224644,0.213445
PACE,biosnap,seed_8,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E2,0.30427,0.05918,-0.002812,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_8,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.189619,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.002482,0.189619,0.241058,0.238576
PACE,biosnap,seed_8,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E,0.313493,0.110122,-0.085422,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_8,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.194912,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.005462,0.194912,0.203487,0.198025
PACE,biosnap,seed_8,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E,0.333759,0.21574,-0.176628,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_8,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.333759,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.140309,0.333759,0.226116,0.19345
PACE,biosnap,seed_8,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E,0.369401,0.196866,-0.034673,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_8,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.369401,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.03339,0.369401,0.384389,0.350999
PACE,biosnap,seed_8,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.431097,0.226712,0.012024,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_8,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.436863,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.01779,0.419073,0.390317,0.436863
PACE,biosnap,seed_8,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.283519,0.085245,0.031042,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_8,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.310188,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.057502,0.252477,0.252686,0.310188
PACE,biosnap,seed_8,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.315281,0.21353,0.100596,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_8,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.348304,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.121973,0.214685,0.226331,0.348304
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E,0.307368,0.084407,-0.154629,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.26252,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.141978,0.26252,0.293663,0.151685
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U,0.231473,0.0,0.018535,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.203964,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.052909,0.203964,0.12631,0.151055
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U,0.119185,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.279411,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.279411,0.097607,
