model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selector_name,selected_v2_profile,validation_metric,validation_gain_vs_U,validation_gain_U_E_E2_vs_U_E,selection_reason,fallback_reason,validation_gain_U_P_E_E2_vs_best_formal,formal_selected_validation_metric,u_p_e_validation_metric,u_p_e_e2_validation_metric
PACE,bindingdb,seed_6,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U,0.083333,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_6,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.055556,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.055556,,
PACE,bindingdb,seed_7,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.207569,0.014422,0.000443,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_7,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.364665,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.162406,0.364665,0.227586,0.202259
PACE,bindingdb,seed_7,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.321797,0.085331,0.002401,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_7,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.319396,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.021889,0.319396,0.354332,0.332443
PACE,bindingdb,seed_7,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U,0.045178,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_7,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.045926,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.045926,,
PACE,bindingdb,seed_7,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U,0.050681,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_7,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.054793,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.054793,,
PACE,bindingdb,seed_7,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.585043,0.264127,0.080423,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_7,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.583498,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.078878,0.50462,0.478187,0.583498
PACE,bindingdb,seed_7,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E,0.52997,0.295854,-0.001941,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_7,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.52997,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.012069,0.52997,0.490017,0.517901
PACE,bindingdb,seed_7,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U,0.038075,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_7,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.137618,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.137618,,
PACE,bindingdb,seed_7,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,1.0,0.952991,0.133333,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_7,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.866667,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,0.0,0.866667,1.0,1.0
PACE,bindingdb,seed_8,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.277036,0.048697,0.087025,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_8,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.281379,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.018058,0.263321,0.182787,0.281379
PACE,bindingdb,seed_8,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U,0.213935,0.0,0.019162,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,bindingdb,seed_8,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.235965,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.009579,0.235965,0.18454,0.226386
PACE,bindingdb,seed_8,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.336493,0.209298,0.233268,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_8,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.240438,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.136689,0.240438,0.128698,0.103749
PACE,bindingdb,seed_8,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.450561,0.314162,0.204842,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_8,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.369576,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.088091,0.245719,0.281485,0.369576
PACE,bindingdb,seed_8,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.525362,0.26726,0.093423,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_8,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.524375,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.066143,0.458232,0.458232,0.524375
PACE,bindingdb,seed_8,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.545929,0.272379,0.143601,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_8,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.553182,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.145157,0.402328,0.408025,0.553182
PACE,bindingdb,seed_8,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.461432,0.27988,0.031371,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_8,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.430061,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.087174,0.430061,0.531388,0.444214
PACE,bindingdb,seed_8,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.459369,0.269268,0.030175,validation_gain_vs_U_meets_threshold,,,,,
PACE,bindingdb,seed_8,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.429194,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.013084,0.429194,0.412359,0.41611
PACE,human,seed_4,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E,0.724537,0.533406,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_4,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.897222,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.897222,0.897222,
PACE,human,seed_4,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E,0.87619,0.781438,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_4,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.775397,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.775397,1.0,
PACE,human,seed_4,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E,0.442951,0.360714,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_4,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.827381,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.827381,0.758333,
PACE,human,seed_4,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E,0.892857,0.79254,-0.599801,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_4,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.892857,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,0.0,0.892857,0.95,0.95
PACE,human,seed_4,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U,0.565344,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_4,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.164411,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.164411,,
PACE,human,seed_4,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.547619,0.140504,0.131972,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_4,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,1.0,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.222222,1.0,1.0,0.777778
PACE,human,seed_4,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.729167,0.580705,0.330953,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_4,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,1.0,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.464744,0.217063,0.535256,1.0
PACE,human,seed_4,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E2,1.0,0.930736,0.528571,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_4,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,1.0,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.083333,0.722222,0.916667,1.0
PACE,human,seed_5,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E,0.429167,0.257717,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_5,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.714935,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.714935,0.79881,
PACE,human,seed_5,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E,0.603571,0.469741,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_5,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.467674,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.467674,0.703492,
PACE,human,seed_5,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E,0.514085,0.312931,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_5,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.883929,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.883929,0.883929,
PACE,human,seed_5,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E,0.682702,0.538691,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_5,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.675,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.675,0.675,
PACE,human,seed_5,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E,0.452438,0.173412,-0.05946,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_5,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.831746,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.360907,0.440197,0.470839,0.831746
PACE,human,seed_5,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E,0.32406,0.157768,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_5,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.2625,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.2625,0.438054,
PACE,human,seed_5,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E,0.484125,0.10835,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_5,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.577664,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.577664,0.527458,
PACE,human,seed_5,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E,0.294185,0.090361,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_5,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.520673,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.520673,0.520673,
PACE,human,seed_6,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U,0.293651,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_6,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.75,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.75,,
PACE,human,seed_6,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U,0.611111,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_6,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_6,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E2,1.0,0.742424,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_6,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,1.0,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,0.0,1.0,,1.0
PACE,human,seed_6,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U,0.142857,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_6,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_6,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U,1.0,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_6,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.833333,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.833333,1.0,
PACE,human,seed_6,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U,,,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_6,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_6,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U,,,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_6,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_6,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U,,,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_6,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_7,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U,0.226474,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_7,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.563333,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.563333,,
PACE,human,seed_7,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E2,1.0,0.957937,0.409091,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_7,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.583333,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.47619,0.583333,0.642857,0.166667
PACE,human,seed_7,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E,0.576923,0.114878,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_7,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.611111,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.611111,0.611111,
PACE,human,seed_7,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E2,1.0,0.956723,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_7,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.25,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.182018,0.067982,,0.25
PACE,human,seed_7,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U,0.313492,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_7,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.566667,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.088889,0.566667,,0.477778
PACE,human,seed_7,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U,0.543478,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_7,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,1.0,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.75,1.0,,0.25
PACE,human,seed_7,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.25,0.086538,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_7,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.638889,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.305556,0.638889,,0.333333
PACE,human,seed_7,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U,0.045455,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_7,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_8,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E,0.475216,0.379389,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_8,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.297236,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.297236,0.696717,
PACE,human,seed_8,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U,0.134434,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_8,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.116691,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.116691,,
PACE,human,seed_8,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E,0.475216,0.379389,,validation_gain_vs_U_meets_threshold,,,,,
PACE,human,seed_8,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.297236,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.297236,0.696717,
PACE,human,seed_8,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U,0.134434,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_8,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.116691,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.116691,,
PACE,human,seed_8,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U,0.119276,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_8,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.19737,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.19737,,
PACE,human,seed_8,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U,0.148394,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_8,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.128173,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.128173,,
PACE,human,seed_8,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U,0.119276,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_8,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.19737,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.19737,,
PACE,human,seed_8,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U,0.148394,0.0,,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,fallback_to_U_all_complex_gain_below_threshold_or_unavailable,,,,
PACE,human,seed_8,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.128173,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,,0.128173,,
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.247756,0.079833,0.062718,validation_gain_vs_U_meets_threshold,,,,,
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.237872,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.052368,0.185504,0.145769,0.237872
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.255286,0.100191,0.145229,validation_gain_vs_U_meets_threshold,,,,,
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.231585,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.038949,0.192636,0.11966,0.231585
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.24258,0.119415,0.137877,validation_gain_vs_U_meets_threshold,,,,,
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.231126,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.124728,0.102487,0.106398,0.231126
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E2,0.152719,0.065594,0.02432,validation_gain_vs_U_meets_threshold,,,,,
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.167357,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.032878,0.167357,0.096689,0.134479
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.384994,0.207684,0.117088,validation_gain_vs_U_meets_threshold,,,,,
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.406094,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.132683,0.267906,0.273411,0.406094
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E,0.320954,0.156562,-0.031884,validation_gain_vs_U_meets_threshold,,,,,
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.320954,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.021209,0.320954,0.293333,0.299745
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.289009,0.107666,0.004324,validation_gain_vs_U_meets_threshold,,,,,
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.284685,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.003848,0.284685,0.25647,0.280837
