scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
model,U+E2 - U,U+E2 - U,ok,review_lift,84,84,120,36,0.72619,2.084426,1.675993,0.460397,0.460397,-0.833333,1.986088,,,DrugBAN
model,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,84,84,120,36,0.72619,0.41735,0.336017,0.092358,0.092358,-0.166667,0.4,,,DrugBAN
model,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,84,84,120,36,0.72619,0.048714,0.029797,0.01953,0.01953,-0.033845,0.082756,,,DrugBAN
model,U+E2 - U,U+E2 - U,ok,error_detection_auprc,109,109,120,11,0.550459,0.324286,0.314345,0.014833,0.014833,-0.329377,0.777778,,,PACE
model,U+E2 - U,U+E2 - U,ok,error_detection_auroc,109,109,120,11,0.541284,0.695615,0.718075,-0.018557,-0.018557,-0.345263,0.28125,,,PACE
model,U+E2 - U,U+E2 - U,ok,review_lift,113,113,120,7,0.442478,2.089613,2.000704,0.116103,0.116103,-2.41151,2.820513,,,PACE
model,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,113,113,120,7,0.442478,0.418774,0.400573,0.023957,0.023957,-0.480342,0.555556,,,PACE
model,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,113,113,120,7,0.442478,0.027058,0.03335,-0.005446,-0.005446,-0.087147,0.044657,,,PACE
model,U+E2 - U,U+E2 - U,ok,error_detection_auprc,104,104,120,16,0.75,0.356562,0.29487,0.061692,0.061692,-0.18174,0.300727,,,TAPB
model,U+E2 - U,U+E2 - U,ok,error_detection_auroc,104,104,120,16,0.855769,0.69476,0.625285,0.069475,0.069475,-0.309912,0.304375,,,TAPB
model,U+E2 - U,U+E2 - U,ok,review_lift,104,104,120,16,0.557692,2.050622,1.716808,0.333815,0.333815,-1.565542,1.779167,,,TAPB
model,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,104,104,120,16,0.557692,0.409081,0.343038,0.066044,0.066044,-0.314167,0.351042,,,TAPB
model,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,104,104,120,16,0.557692,0.037956,0.025128,0.012828,0.012828,-0.04181,0.089935,,,TAPB
overall,U+E+E2 - U+E,U+E+E2 - U+E,ok,error_detection_auprc,294,294,360,66,0.64966,0.531153,0.487789,0.037431,0.037431,-0.16452,0.265729,,,
overall,U+E+E2 - U+E,U+E+E2 - U+E,ok,error_detection_auroc,294,294,360,66,0.717687,0.818754,0.790406,0.021317,0.021317,-0.094159,0.149929,,,
overall,U+E+E2 - U+E,U+E+E2 - U+E,ok,review_lift,290,290,360,70,0.589655,2.911905,2.773082,0.1195,0.1195,-1.008762,1.42161,,,
overall,U+E+E2 - U+E,U+E+E2 - U+E,ok,review_recall_of_residual_errors,290,290,360,70,0.534483,0.582626,0.554753,0.023667,0.023667,-0.2,0.277679,,,
overall,U+E+E2 - U+E,U+E+E2 - U+E,ok,retained_accuracy_gain_vs_residual,290,290,360,70,0.613793,0.066754,0.061583,0.004308,0.004308,-0.03242,0.049659,,,
grouping,U+E+E2 - U+E,U+E+E2 - U+E,ok,error_detection_auprc,146,146,180,34,0.671233,0.535412,0.488933,0.042071,0.042071,-0.159809,0.284448,drug,,
