group_axis,review_fraction,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
target,0.1,delta_deduplicated_error_detection_auprc_vs_uncertainty,0.003590156774,-0.055171976741,0.062812285969,15,0.266666666667
target,0.1,delta_deduplicated_review_error_rate_vs_uncertainty,0.00641025641,-0.055555555556,0.069444444444,13,0.307692307692
target,0.1,delta_deduplicated_review_lift_vs_uncertainty,0.022495830699,-0.330194296592,0.396559972395,13,0.307692307692
target,0.1,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,0.001889428581,-0.031951490775,0.038224637681,13,0.307692307692
target,0.1,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,0.001008206537,-0.023214285714,0.02389957265,13,0.307692307692
target,0.1,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,0.000649534643,-0.005689364655,0.007307185963,13,0.307692307692
target,0.1,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,0.000649534643,-0.005718386213,0.007207890215,13,0.307692307692
target,0.2,delta_deduplicated_error_detection_auroc_vs_uncertainty,-0.008358239684,-0.058152987855,0.046454952126,15,0.2
target,0.2,delta_deduplicated_error_detection_auprc_vs_uncertainty,0.003590156774,-0.055171976741,0.062812285969,15,0.266666666667
target,0.2,delta_deduplicated_review_error_rate_vs_uncertainty,0.010481905915,-0.032985398282,0.06505886995,13,0.384615384615
target,0.2,delta_deduplicated_review_lift_vs_uncertainty,0.045636821357,-0.187029836961,0.329254575452,13,0.384615384615
target,0.2,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,0.008401845548,-0.037448611012,0.063536922015,13,0.384615384615
target,0.2,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,0.005912803458,-0.02812108396,0.045725104026,13,0.384615384615
target,0.2,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,0.002435490529,-0.008257279444,0.015734870031,13,0.384615384615
target,0.2,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,0.002435490529,-0.008257279444,0.015344661416,13,0.384615384615
target,0.3,delta_deduplicated_error_detection_auroc_vs_uncertainty,-0.008358239684,-0.058152987855,0.046454952126,15,0.2
target,0.3,delta_deduplicated_error_detection_auprc_vs_uncertainty,0.003590156774,-0.055171976741,0.062812285969,15,0.266666666667
target,0.3,delta_deduplicated_review_error_rate_vs_uncertainty,0.006949044252,-0.02796067367,0.047971240942,13,0.307692307692
target,0.3,delta_deduplicated_review_lift_vs_uncertainty,0.02733068433,-0.163832405461,0.240315739137,13,0.307692307692
target,0.3,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,0.008236795529,-0.050854148598,0.072427320566,13,0.307692307692
target,0.3,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,0.005700549451,-0.03746031746,0.051393887363,13,0.307692307692
target,0.3,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,0.002964384332,-0.01223970474,0.020631171947,13,0.307692307692
target,0.3,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,0.002964384332,-0.01230285501,0.020145357302,13,0.307692307692
