model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual,uncertainty_deduplicated_error_detection_auroc,delta_deduplicated_error_detection_auroc_vs_uncertainty,uncertainty_deduplicated_error_detection_auprc,delta_deduplicated_error_detection_auprc_vs_uncertainty,uncertainty_deduplicated_review_error_rate,delta_deduplicated_review_error_rate_vs_uncertainty,uncertainty_deduplicated_review_lift,delta_deduplicated_review_lift_vs_uncertainty,uncertainty_deduplicated_review_recall_of_residual_errors,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,uncertainty_deduplicated_combined_recall_of_candidate_errors,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_after_review,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_gain_vs_residual,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,243,24,219,28.0,0.127853881279,0.765332834705,0.346804471383,44,11.0,0.25,1.955357142857,0.392857142857,0.5,0.902857142857,0.030711024136,68,0.279835390947,prior,False,one_standard_error,0.685115931189,0.080216903515,0.276838156798,0.069966314585,0.227272727273,0.022727272727,1.777597402597,0.17775974026,0.357142857143,0.035714285714,0.470588235294,0.029411764706,0.897142857143,0.005714285714,0.024996738421,0.005714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.9,0.1,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,243,24,219,28.0,0.127853881279,0.765332834705,0.346804471383,66,18.0,0.272727272727,2.133116883117,0.642857142857,0.705882352941,0.934640522876,0.062494404154,90,0.37037037037,prior,False,one_standard_error,0.685115931189,0.080216903515,0.276838156798,0.069966314585,0.212121212121,0.060606060606,1.659090909091,0.474025974026,0.5,0.142857142857,0.588235294118,0.117647058824,0.908496732026,0.02614379085,0.036350613305,0.02614379085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.9,0.2,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,243,49,194,21.0,0.10824742268,0.772914946325,0.289604050362,10,3.0,0.3,2.771428571429,0.142857142857,0.470588235294,0.902173913043,0.010421335724,59,0.242798353909,prior,False,one_standard_error,0.658684282962,0.114230663364,0.197041837067,0.092562213295,0.3,0.0,2.771428571429,0.0,0.142857142857,0.0,0.470588235294,0.0,0.902173913043,0.0,0.010421335724,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.9,0.2,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,243,49,194,21.0,0.10824742268,0.772914946325,0.289604050362,19,6.0,0.315789473684,2.917293233083,0.285714285714,0.558823529412,0.914285714286,0.022533136966,68,0.279835390947,prior,False,one_standard_error,0.658684282962,0.114230663364,0.197041837067,0.092562213295,0.157894736842,0.157894736842,1.458646616541,1.458646616541,0.142857142857,0.142857142857,0.470588235294,0.088235294118,0.897142857143,0.017142857143,0.005390279823,0.017142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,243,49,194,21.0,0.10824742268,0.772914946325,0.289604050362,39,12.0,0.307692307692,2.842490842491,0.571428571429,0.735294117647,0.941935483871,0.050182906551,88,0.362139917695,prior,False,one_standard_error,0.658684282962,0.114230663364,0.197041837067,0.092562213295,0.153846153846,0.153846153846,1.421245421245,1.421245421245,0.285714285714,0.285714285714,0.558823529412,0.176470588235,0.903225806452,0.038709677419,0.011473229132,0.038709677419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.9,0.2,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,243,49,194,21.0,0.10824742268,0.772914946325,0.289604050362,58,13.0,0.224137931034,2.070607553366,0.619047619048,0.764705882353,0.941176470588,0.049423893269,107,0.440329218107,prior,False,one_standard_error,0.658684282962,0.114230663364,0.197041837067,0.092562213295,0.172413793103,0.051724137931,1.592775041051,0.477832512315,0.47619047619,0.142857142857,0.676470588235,0.088235294118,0.919117647059,0.022058823529,0.027365069739,0.022058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.05,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,278,28,250,38.0,0.152,0.895978152929,0.551504713226,12,6.0,0.5,3.289473684211,0.157894736842,0.288888888889,0.865546218487,0.017546218487,40,0.143884892086,uncertainty_support,False,one_standard_error,0.708912611718,0.187065541212,0.340585487706,0.210919225521,0.333333333333,0.166666666667,2.19298245614,1.09649122807,0.105263157895,0.052631578947,0.244444444444,0.044444444444,0.857142857143,0.008403361345,0.009142857143,0.008403361345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.1,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,278,28,250,38.0,0.152,0.895978152929,0.551504713226,25,16.0,0.64,4.210526315789,0.421052631579,0.511111111111,0.902222222222,0.054222222222,53,0.190647482014,uncertainty_support,False,one_standard_error,0.708912611718,0.187065541212,0.340585487706,0.210919225521,0.4,0.24,2.631578947368,1.578947368421,0.263157894737,0.157894736842,0.377777777778,0.133333333333,0.875555555556,0.026666666667,0.027555555556,0.026666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,278,28,250,38.0,0.152,0.895978152929,0.551504713226,50,27.0,0.54,3.552631578947,0.710526315789,0.755555555556,0.945,0.097,78,0.280575539568,uncertainty_support,False,one_standard_error,0.708912611718,0.187065541212,0.340585487706,0.210919225521,0.28,0.26,1.842105263158,1.710526315789,0.368421052632,0.342105263158,0.466666666667,0.288888888889,0.88,0.065,0.032,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.3,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,278,28,250,38.0,0.152,0.895978152929,0.551504713226,75,32.0,0.426666666667,2.80701754386,0.842105263158,0.866666666667,0.965714285714,0.117714285714,103,0.370503597122,uncertainty_support,False,one_standard_error,0.708912611718,0.187065541212,0.340585487706,0.210919225521,0.266666666667,0.16,1.754385964912,1.052631578947,0.526315789474,0.315789473684,0.6,0.266666666667,0.897142857143,0.068571428571,0.049142857143,0.068571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
