group_axis,review_fraction,method,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
drug,0.2,native_max_shift,delta_review_error_rate_vs_pause,-0.248351203966,-0.305639834332,-0.191415355364,40,0.025
drug,0.2,native_max_shift,delta_combined_recall_of_candidate_errors_vs_pause,-0.258561164121,-0.314263324892,-0.200688047514,40,0.025
drug,0.2,native_max_shift,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.06213111094,-0.076155975954,-0.047749648171,40,0.025
drug,0.2,raw_uncertainty,delta_error_detection_auprc_vs_pause,-0.14668573689,-0.23209893231,-0.06827493573,43,0.139534883721
drug,0.2,raw_uncertainty,delta_review_error_rate_vs_pause,-0.105586427452,-0.175536644949,-0.043581307052,40,0.125
drug,0.2,raw_uncertainty,delta_combined_recall_of_candidate_errors_vs_pause,-0.109213464944,-0.165547914047,-0.048555641124,40,0.125
drug,0.2,raw_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.026421214993,-0.043743678879,-0.011083328976,40,0.125
drug,0.3,fixed_hgb_upe,delta_error_detection_auprc_vs_pause,0.012989147032,-0.064652239112,0.096338296315,41,0.585365853659
drug,0.3,fixed_hgb_upe,delta_review_error_rate_vs_pause,0.009913455122,-0.0391146313,0.070975528795,40,0.575
drug,0.3,fixed_hgb_upe,delta_combined_recall_of_candidate_errors_vs_pause,0.007466991778,-0.058189331911,0.073357795419,40,0.575
drug,0.3,fixed_hgb_upe,delta_retained_accuracy_gain_vs_residual_vs_pause,0.004359189956,-0.016436628276,0.030132822951,40,0.575
drug,0.3,native_density,delta_error_detection_auprc_vs_pause,-0.213713302372,-0.304968108376,-0.10286540518,43,0.06976744186
drug,0.3,native_density,delta_review_error_rate_vs_pause,-0.201715810371,-0.25187181886,-0.143178424684,40,0.025
drug,0.3,native_density,delta_combined_recall_of_candidate_errors_vs_pause,-0.298764350422,-0.356277641771,-0.221708729915,40,0.0
drug,0.3,native_density,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.086258175956,-0.108058125275,-0.060631644966,40,0.025
drug,0.3,native_max_shift,delta_error_detection_auprc_vs_pause,-0.217984359561,-0.302121486798,-0.119641559716,43,0.046511627907
drug,0.3,native_max_shift,delta_review_error_rate_vs_pause,-0.211586463214,-0.256949564571,-0.16510034423,40,0.025
drug,0.3,native_max_shift,delta_combined_recall_of_candidate_errors_vs_pause,-0.318350336139,-0.365431669713,-0.260870117832,40,0.0
drug,0.3,native_max_shift,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.090446992035,-0.110043391756,-0.069959204472,40,0.025
drug,0.3,raw_uncertainty,delta_error_detection_auprc_vs_pause,-0.14668573689,-0.23209893231,-0.06827493573,43,0.139534883721
drug,0.3,raw_uncertainty,delta_review_error_rate_vs_pause,-0.078581788809,-0.125050453445,-0.037074779255,40,0.05
drug,0.3,raw_uncertainty,delta_combined_recall_of_candidate_errors_vs_pause,-0.118562499468,-0.173146163526,-0.058207069909,40,0.05
drug,0.3,raw_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.033646863797,-0.053427648945,-0.016030617796,40,0.05
