group_axis,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
drug,delta_normalized_action_auc_vs_uncertainty,0.096876567606,0.045490081423,0.143903310538,40,0.725
target,delta_normalized_action_auc_vs_uncertainty,0.028271790265,0.005385667662,0.053562591931,40,0.65
