group_axis,review_fraction,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,heterogeneity_axis,stratum
target,0.1,0.028687565023,0.054880899728,0.006065406832,test_run,seed_6
target,0.1,-0.001280129604,0.003311387686,0.000361628312,test_run,seed_7
target,0.1,0.045410311351,0.085476791727,0.009189276331,test_run,seed_8
target,0.2,0.009051609745,0.007981894389,0.001981851181,test_run,seed_4
target,0.2,0.039568364863,0.021982883889,0.005505687928,test_run,seed_5
target,0.2,0.045249988107,0.040981919083,0.010252107453,test_run,seed_6
target,0.2,0.005362961362,0.015103688067,0.003836701435,test_run,seed_7
target,0.2,0.065069903495,0.060304606871,0.015117582175,test_run,seed_8
target,0.3,0.012946396993,0.009247674557,0.003954004564,test_run,seed_4
target,0.3,0.030956352069,0.014812103729,0.006378516263,test_run,seed_5
target,0.3,0.062075243597,0.035901211362,0.015248040345,test_run,seed_6
target,0.3,0.010023624347,0.016670757546,0.007254095291,test_run,seed_7
target,0.3,0.060961790344,0.037429203635,0.01597398503,test_run,seed_8
